"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"2.31039","-1.08385","11.6849","0.0817566","0.0337524","-0.0301971","-8.54034","-27.1072","-44.9707","cop"
"2.19012","0.410614","9.7728","0.069519","-0.01474","0.015152","-8.84857","-27.5375","-44.8685","cop"
"3.07074","0.409882","10.7436","0.29454","-0.190918","0.0629883","-9.98535","-29.0741","-42.9092","cop"
"2.62862","1.35143","10.6126","0.620361","0.156128","0.27182","-11.1496","-32.4844","-38.6353","cop"
"-2.76254","4.08069","17.716","0.582901","0.0431671","0.130203","-10.8078","-35.6155","-34.7443","cop"
"4.127","-0.771866","6.99638","3.19073","-0.318848","1.7937","-17.8543","-41.7358","-18.4021","cop"
"8.1543","-4.81412","0.975967","3.71759","-0.039032","1.82829","-32.1625","-34.7183","10.1273","cop"
"9.705","2.88139","-1.9325","2.59746","1.37642","1.00021","-40.1062","-17.3523","12.8281","cop"
"9.317","2.2502","7.28084","-0.893433","-0.965195","0.533417","-39.9948","-13.6353","16.0294","cop"
"6.74991","-1.14355","-3.39597","1.09952","0.968964","-0.289917","-41.8625","-10.08","12.3138","cop"
"2.49396","-3.92035","8.63037","-3.56409","1.41612","-2.1743","-42.0303","-21.3287","-0.701904","cop"
"-0.481705","-2.33896","14.0136","-3.8232","0.8078","-2.90163","-29.9271","-29.4739","-25.6805","cop"
"-1.1599","-0.592133","12.7919","-1.45309","0.435089","-2.07054","-15.5579","-25.1648","-41.3055","cop"
"0.839294","-0.447693","10.6573","-0.220154","-0.202332","-0.79306","-9.65118","-24.2416","-45.1736","cop"
"1.70969","-1.0309","10.8518","0.00926208","0.00468445","0.00102234","-6.15845","-26.9379","-45.4071","cop"
"0.389511","1.0239","13.5185","-0.023468","-0.0178528","0.0470428","-6.68182","-26.8677","-45.668","cop"
"0.933304","1.16891","14.0429","0.317184","-0.132401","0.228882","-7.9895","-27.6413","-44.4305","cop"
"3.98943","-0.891037","10.2506","2.62231","-0.576874","2.26834","-19.1071","-34.2834","-31.1523","cop"
"7.56735","-2.51932","3.5085","4.48888","-0.2892","2.06158","-34.2697","-34.7","-2.21558","cop"
"5.94411","-0.402069","-6.03012","3.80627","0.558701","1.53505","-41.0339","-17.8482","10.1578","cop"
