"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"3.37016","-0.266308","8.32484","0.164315","0.250456","-0.187418","-22.7485","-26.3964","-20.4352","cop"
"3.56329","-0.972906","7.89923","0.0915598","0.194372","-0.141701","-26.1336","-22.9372","-22.2648","cop"
"3.27429","-0.178404","8.21637","0.081483","0.147782","-0.102349","-23.7713","-25.1227","-21.7353","cop"
"4.09745","-1.6485","6.40855","0.0953545","0.386175","-0.0422234","-25.5656","-19.938","-19.477","cop"
"3.00344","-2.05171","8.31196","0.0733554","0.256975","-0.0431302","-26.5167","-17.168","-17.3941","cop"
"7.77744","-4.03784","5.98247","0.585088","0.0455704","0.510619","-32.8416","-1.08096","1.69818","hungry"
"6.87293","-3.77495","5.10117","0.518124","0.058637","0.462382","-33.1351","-1.84263","2.24711","hungry"
"6.91105","-3.5737","6.63856","0.432288","0.547822","0.044839","-27.5463","0.654275","2.14342","hungry"
"5.31592","-4.09635","6.8686","0.492177","0.537542","0.377517","-26.0094","-0.547682","-0.348881","hungry"
"6.43599","-3.6789","5.00347","0.428419","0.239413","0.399385","-26.7064","-0.845806","5.50572","hungry"
"4.30585","-1.94403","5.13227","0.263536","0.0474036","-0.0550319","-7.80215","-8.90677","-5.26287","headache"
"4.77851","-1.86308","4.95291","0.378911","0.195688","0.32695","-12.5174","-4.44629","0.253648","headache"
"5.9579","-1.9609","3.81378","0.160044","0.0173133","0.253203","-16.8374","-5.74635","-1.55945","headache"
"6.61367","-0.189026","1.29309","0.300037","0.0549901","0.337931","-15.5736","-6.5623","3.93219","headache"
"5.00343","-0.956997","6.10263","0.0104817","0.0547409","0.131427","-16.4897","-8.63233","-3.4268","headache"
"0.0839615","-1.43345","9.3453","-0.119868","0.00986328","0.14592","-17.8221","5.12848","-33.006","about"
"-1.11895","-1.99516","9.24261","-0.16105","-0.0443185","0.12725","-16.6956","5.197","-33.3362","about"
"-1.75882","-2.38044","8.89321","-0.195082","-0.0859116","0.115735","-12.8905","7.65411","-35.9811","about"
"-1.34637","-2.59626","8.85505","-0.158765","-0.0989609","0.111845","-15.446","7.83112","-34.319","about"
"-1.54028","-2.49771","9.78976","-0.204494","-0.0905395","0.132301","-16.0422","7.98721","-33.688","about"
"3.51329","-0.924291","8.31231","0.201256","0.187271","-0.211751","0.961558","-14.7193","-20.448","cop"
"4.43516","-0.49028","7.42734","0.0874189","0.179262","-0.0862249","-1.6468","-14.8056","-17.9279","cop"
"2.99342","-1.0019","5.37851","0.134759","0.319233","-0.162369","-2.61203","-19.5344","-16.6372","cop"
"3.23467","-0.668515","7.2705","0.0971485","0.263956","-0.0165946","-6.26304","-20.5046","-19.0263","cop"
"3.70013","-0.770608","7.39296","0.0262673","0.164125","0.0380485","-8.01627","-23.1886","-21.4261","cop"
"5.44618","-3.7696","5.59886","0.526589","0.617418","0.275659","-23.7848","-22.1979","-19.4614","hungry"
"6.15285","-2.56698","5.56887","0.36466","0.373888","0.205417","-22.3284","-23.0994","-18.8507","hungry"
"7.11067","-2.73729","4.84435","0.368865","0.428736","0.233828","-26.726","-23.4316","-17.1312","hungry"
"7.20523","-3.41789","4.71623","0.385176","0.173423","0.503176","-27.5554","-23.901","-14.2335","hungry"
"7.30241","-4.32276","5.06044","0.430983","0.192623","0.362462","-30.5179","-20.7079","-14.7517","hungry"
"3.79331","-1.95971","7.65242","0.431839","0.114042","-0.232666","-7.60498","-26.0215","-15.9375","headache"
"3.60987","-1.64511","5.30802","0.32959","0.122779","0.318223","-6.23345","-26.2687","-11.4367","headache"
"4.85687","-1.18435","4.67753","0.324674","0.221415","0.0697741","-7.284","-26.5336","-12.8952","headache"
"4.38383","-1.3259","6.11096","0.247876","0.123225","0.311399","-6.43228","-27.2328","-13.2932","headache"
"6.93545","-1.60482","6.19046","0.0383682","0.145304","0.535561","-12.0731","-25.5221","-10.5419","headache"
"-0.720065","-2.26013","10.5344","-0.106773","-0.0729993","0.108273","-4.97627","-26.3084","-37.5903","about"
"-1.0189","-2.03774","9.45829","-0.137397","-0.00836043","0.121052","-1.9602","-26.6564","-36.941","about"
"-1.83005","-2.37101","8.73336","-0.182478","-0.0934892","0.0884177","-2.5288","-26.346","-37.1546","about"
