"action_uid","time_stamp","x_value","y_value","z_value"
"16","272930648523164","0.145813","-0.51152","9.324"
"16","272930668512178","0.175583","-0.480759","9.5312"
"16","272930688501192","0.166946","-0.329742","10.2698"
"16","272930708490205","0.0515442","-0.375916","9.20468"
"16","272930728479219","-0.260376","-0.663177","8.76402"
"16","272930748468233","-0.251526","-0.697266","8.88644"
"16","272930768457247","0.0291748","-0.641052","9.40212"
"16","272930788446260","0.245819","-0.520569","9.83028"
"16","272930808435274","0.214966","-0.500854","10.2084"
"16","272930828424288","-0.0595245","-0.679459","10.0615"
"16","272930848413301","-0.522507","-0.798553","9.4406"
"16","272930868402315","-0.646667","-0.832642","9.26814"
"16","272930888391329","-0.133514","-0.724731","9.8085"
"16","272930908380342","0.430771","-0.57605","10.3105"
"16","272930928369356","0.44928","-0.584839","10.4312"
"16","272930948358370","0.062973","-0.658203","10.221"
"16","272930968347383","-0.0124512","-0.67424","10.1131"
"16","272930988336397","-0.0983734","-0.565002","10.0483"
"16","272931008325411","-0.586624","-0.420746","10.653"
"16","272931028314424","-0.75145","-0.252167","11.7672"
"16","272931048303438","-0.790176","-0.38855","12.1659"
"16","272931068292452","-1.03807","-0.428268","12.6542"
"16","272931088281465","-1.12599","-0.460876","13.72"
"16","272931108270479","-0.632263","-0.586746","14.778"
"16","272931128259493","0.484482","-0.517258","14.8654"
"16","272931148248506","1.28088","-0.593872","14.4337"
"16","272931168237520","1.78999","-0.631088","14.5036"
"16","272931188226534","2.60814","-0.499039","14.1216"
"16","272931208215547","2.72554","-0.599655","12.5007"
"16","272931228204561","3.11972","-0.309418","11.0733"
"16","272931248193575","4.17078","0.0591888","12.2324"
"16","272931268182588","4.53685","0.293472","11.3742"
"16","272931288171602","4.12221","0.323853","8.98854"
"16","272931308160616","3.55638","0.479614","8.01167"
"16","272931328149629","3.89421","0.538406","7.93941"
"16","272931348138643","4.53194","0.430435","6.31268"
"16","272931368127657","5.53244","0.416702","4.26756"
"16","272931388116670","5.68486","0.362274","3.45258"
"16","272931408105684","6.17276","0.222519","2.56689"
"16","272931428094698","6.42352","0.00872803","1.02733"
"16","272931448083711","5.34599","0.0165253","1.9949"
"16","272931468072725","4.65733","0.257477","4.73968"
"16","272931488061739","5.19498","0.558792","5.89667"
"16","272931508050752","5.31029","0.221985","4.45052"
"16","272931528039766","3.23163","-0.736343","2.29184"
"16","272931548028780","0.784424","-1.41678","1.35828"
"16","272931568017793","0.78183","-1.48445","2.27165"
"16","272931588006807","1.28226","-1.38174","3.41745"
"16","272931607995821","0.204819","-1.57394","5.69142"
"16","272931627984834","-1.74957","-2.3665","6.21957"
"16","272931647973848","-1.35188","-2.59476","5.55296"
"16","272931667962862","0.12323","-2.69276","4.45544"
"16","272931687951875","-1.68816","-2.9733","4.84763"
"16","272931707940889","-3.52647","-3.25621","6.87256"
"16","272931727929903","-3.04688","-3.19365","8.53418"
"16","272931747918916","-2.576","-3.22122","8.54175"
"16","272931767907930","-2.8192","-3.47339","7.97711"
"16","272931787896944","-3.06575","-3.82285","7.45026"
"16","272931807885957","-3.57651","-4.01476","7.41071"
"16","272931827874971","-3.59348","-3.98755","7.64975"
"16","272931847863985","-4.14072","-4.1454","7.64278"
"16","272931867852998","-4.41304","-4.29864","8.51562"
"16","272931887842012","-4.82202","-4.32774","9.99791"
"16","272931907831026","-5.55109","-4.26236","11.8553"
"16","272931927820039","-5.13158","-4.24535","12.3533"
"16","272931947809053","-5.11267","-4.40222","12.1554"
"16","272931967798067","-5.82414","-4.47714","12.4278"
"16","272931987792154","-5.89507","-4.45833","12.7608"
"16","272932007781168","-5.85744","-4.37692","13.3623"
"16","272932027770182","-5.89125","-4.34044","14.3001"
"16","272932047759196","-6.18538","-4.33484","15.1491"
"16","272932067748209","-6.58195","-4.22086","14.6333"
"16","272932087737223","-4.93556","-3.63144","15.1317"
"16","272932107726237","-4.38455","-3.19128","16.4655"
"16","272932127715250","-4.88673","-3.02667","16.2812"
"16","272932147704264","-7.07692","-3.47905","14.195"
"16","272932167693278","-7.84645","-3.97935","13.4449"
"16","272932187682291","-4.85403","-3.63919","17.9478"
"16","272932207671305","-3.14575","-3.66286","21.2582"
"16","272932227660319","-3.01665","-3.91887","20.7557"
"16","272932247649332","-2.60542","-4.0795","18.0162"
"16","272932267638346","-2.50749","-4.33997","15.2525"
"16","272932287627360","-2.83049","-4.11363","13.6411"
"16","272932307616373","-1.22456","-3.75859","14.8802"
"16","272932327605387","0.526505","-3.42865","15.923"
"16","272932347594401","0.0643005","-3.52301","15.6338"
"16","272932367583414","-1.28479","-3.62544","14.1537"
"16","272932387572428","-0.77684","-3.60699","12.3433"
"16","272932407561442","0.0390472","-3.35626","10.3548"
"16","272932427550455","0.559433","-2.62367","8.90924"
"16","272932447539469","1.21007","-1.82788","8.45114"
"16","272932467528483","0.678207","-1.32599","8.8403"
"16","272932487517496","0.199371","-1.18036","8.22394"
"16","272932507506510","0.61731","-1.06386","5.83572"
"16","272932527495524","0.719147","-0.481003","2.21002"
"16","272932547484537","-0.210373","0.344391","0.684082"
"16","272932567473551","0.957779","1.10361","1.78252"
"16","272932587462565","0.987869","0.6185","1.84656"
"16","272932607451578","-0.914993","-0.945862","-1.02414"
"16","272932627440592","-2.61719","-2.246","-3.4812"
"16","272932647429606","-3.15422","-2.81949","-0.0234985"
"16","272932667418619","-2.09006","-2.12004","6.44045"
"16","272932687407633","0.179138","-1.24005","13.5433"
"16","272932707396647","1.43256","-0.625198","16.7475"
"16","272932727385660","0.42543","-0.765244","14.8773"
"17","272933706847330","0.467163","-0.364655","10.2621"
"17","272933726836344","0.534256","-0.374084","9.69775"
"17","272933746825358","0.140015","-0.596664","8.00755"
"17","272933766814371","0.15976","-0.788803","8.51414"
"17","272933786803385","0.29834","-0.660248","9.19434"
"17","272933806792399","0.198364","-0.568466","9.85649"
"17","272933826781412","0.341599","-0.513046","10.2601"
"17","272933846770426","0.60405","-0.523224","10.4496"
"17","272933866759440","0.349945","-0.62532","10.2434"
"17","272933886748453","-0.372513","-0.730042","10.1247"
"17","272933906737467","-0.78064","-0.645691","11.2726"
"17","272933926726481","-0.2892","-0.58905","13.082"
"17","272933946715494","0.0597534","-0.702789","13.122"
"17","272933966704508","0.197479","-0.798004","12.7755"
"17","272933986693522","0.43634","-0.656464","14.1644"
"17","272934006682535","0.755951","-0.302658","15.652"
"17","272934026671549","1.00258","-0.032608","15.6878"
"17","272934046660563","1.14781","-0.111664","13.6538"
"17","272934066649576","1.27078","-0.20578","11.8803"
"17","272934086638590","1.21556","-0.203232","11.8413"
"17","272934106627604","2.37474","-0.126266","11.818"
"17","272934126616617","3.87404","0.164749","11.9032"
"17","272934146605631","4.71245","0.236816","11.7368"
"17","272934166594645","5.16798","0.34082","11.006"
"17","272934186583658","5.75899","-0.00398254","9.07289"
"17","272934206572672","6.00429","-0.360001","6.7345"
"17","272934226561686","6.65407","-0.445404","4.88739"
"17","272934246550699","7.53595","-0.443634","3.27275"
"17","272934266539713","7.62927","-0.241257","2.89226"
"17","272934286528727","7.05746","-0.10939","3.78506"
"17","272934306517740","6.05484","-0.219116","4.80339"
"17","272934326506754","5.01747","-0.408463","6.11517"
"17","272934346495768","4.25102","-0.650528","6.33179"
"17","272934366484781","4.27907","-0.757538","4.8178"
"17","272934386473795","5.38052","-0.646591","3.05362"
"17","272934406462809","6.38077","-0.559402","2.12292"
"17","272934426451822","5.03651","-0.858551","1.74413"
"17","272934446440836","2.15884","-1.42926","1.52489"
"17","272934466429850","0.339676","-1.77081","1.41028"
"17","272934486418863","0.355118","-1.93542","2.01845"
"17","272934506407877","0.118637","-2.27324","2.57225"
"17","272934526396891","-3.48129","-3.24397","3.17564"
"17","272934546385904","-5.59077","-3.64627","3.1628"
"17","272934566374918","-4.24736","-3.44807","4.65483"
"17","272934586363932","-4.10782","-3.32439","5.83154"
"17","272934606352946","-6.15892","-3.41954","6.28371"
"17","272934626341959","-5.86079","-3.25845","6.25191"
"17","272934646330973","-5.56888","-3.24498","7.94608"
"17","272934666319987","-6.0471","-3.45515","7.93785"
"17","272934686309000","-6.13399","-3.89058","7.26903"
"17","272934706298014","-6.81999","-4.33719","7.66862"
"17","272934726287028","-6.86795","-4.56448","8.76814"
"17","272934746276041","-5.91771","-4.89592","9.94524"
"17","272934766265055","-5.19461","-5.20241","11.062"
"17","272934786254069","-5.81468","-5.32452","11.476"
"17","272934806243082","-5.97249","-5.53835","12.0883"
"17","272934826232096","-5.6732","-5.7668","13.6027"
"17","272934846221110","-5.97063","-5.63916","14.2461"
"17","272934866210123","-6.70897","-5.94803","13.4238"
"17","272934886199137","-6.01953","-6.47775","13.4696"
"17","272934906188151","-5.09854","-6.42262","15.9853"
"17","272934926177164","-4.31616","-5.68582","18.678"
"17","272934946166178","-5.47783","-5.82741","16.3688"
"17","272934966155192","-4.93265","-6.28052","12.9381"
"17","272934986144205","-2.78412","-5.9823","13.739"
"17","272935006133219","-2.61864","-5.30075","17.7874"
"17","272935026122233","-4.21005","-5.19505","17.4373"
"17","272935046111246","-2.99568","-5.20238","15.8617"
"17","272935066100260","-1.80048","-4.59369","17.1154"
"17","272935086089274","-2.28372","-3.9082","18.4065"
"17","272935106078287","-4.28267","-3.50967","18.7027"
"17","272935126067301","-4.93904","-3.09004","18.1458"
"17","272935146056315","-3.66382","-2.37775","18.31"
"17","272935166045328","-2.09898","-1.92488","18.2299"
"17","272935186034342","-3.14581","-2.16818","16.9388"
"17","272935206023356","-5.94516","-2.87317","14.2265"
"17","272935226012369","-5.63937","-2.85988","12.7821"
"17","272935246001383","-2.01903","-2.3345","13.3218"
"17","272935265990397","-0.816452","-2.20114","13.561"
"17","272935285979410","-1.93738","-2.4904","11.1505"
"17","272935305968424","-2.45587","-2.48296","7.36981"
"17","272935325957438","-1.99472","-2.34578","5.92961"
"17","272935345946451","-1.94934","-1.98875","6.62418"
"17","272935365935465","-2.29161","-1.5071","6.90239"
"17","272935385924479","-2.01819","-0.939606","6.81023"
"17","272935405913492","-0.764999","-0.571732","6.56836"
"17","272935425902506","-0.28717","-0.433502","6.34944"
"17","272935445891520","-0.0157928","-0.68457","5.26743"
"17","272935465880533","0.909119","-0.881805","3.09019"
"17","272935485869547","-1.77065","-1.17043","2.09453"
"17","272935505858561","-1.87672","-1.14978","3.8588"
"17","272935525847574","0.662292","-1.02919","5.17612"
"17","272935545836588","0.547714","-1.11205","4.97827"
"17","272935565825602","-0.529816","-1.16597","4.71509"
"17","272935585814615","-0.418564","-1.00343","5.8456"
"17","272935605803629","-0.449738","-0.802505","7.90732"
"17","272935625792643","-0.301941","-0.996185","9.27275"
"17","272935645781656","-1.62103","-0.920578","9.96982"
"17","272935665770670","-1.50543","-0.630386","10.4093"
"17","272935685759684","-0.221161","-0.511368","10.2723"
"17","272935705748697","-0.463013","-0.656509","9.29233"
"17","272935725737711","-1.09535","-0.851486","8.31886"
"17","272935745726725","-1.32619","-0.915192","8.336"
"17","272935765715738","-1.17162","-0.77034","9.20573"
"17","272935785704752","-0.523422","-0.72345","10.1235"
"17","272935805693766","-0.264145","-0.816483","10.2684"
"18","272936585265299","-0.0914917","-0.798569","9.43532"
"18","272936605254313","-0.0346527","-0.761292","9.71846"
"18","272936625243326","0.194092","-0.630966","10.1522"
"18","272936645232340","0.346939","-0.634323","9.9312"
"18","272936665221354","-0.0582428","-0.844696","8.61034"
"18","272936685210367","-0.250351","-0.958725","8.29762"
"18","272936705199381","-0.0957031","-0.853867","8.83668"
"18","272936725188395","-0.215576","-0.675873","9.74362"
"18","272936745177408","-0.212814","-0.575012","10.5308"
"18","272936765166422","0.180084","-0.686462","10.7874"
"18","272936785155436","0.343491","-0.86676","10.4317"
"18","272936805144449","-0.431015","-0.956665","10.3109"
"18","272936825133463","-0.582367","-0.932938","11.0422"
"18","272936845122477","-0.169037","-1.00964","11.5845"
"18","272936865111490","-0.154449","-1.09918","12.0644"
"18","272936885100504","-0.525543","-1.13438","13.38"
