"action_uid","time_stamp","x_value","y_value","z_value"
"1","272865524334105","2.08717","-1.20013","9.7596"
"1","272865544323118","2.17751","-1.18172","9.65207"
"1","272865564312132","2.27382","-1.13866","9.75429"
"1","272865584301146","2.3224","-1.08134","9.743"
"1","272865604290159","2.41246","-1.0415","9.88722"
"1","272865624279173","2.42929","-1.04774","9.92731"
"1","272865644268187","2.20731","-1.00978","8.58878"
"1","272865664257200","2.10564","-0.891312","6.85197"
"1","272865684246214","2.40962","-0.947098","9.43036"
"1","272865704235228","2.31039","-1.08385","11.6849"
"1","272865724224241","2.2457","-0.995407","10.2262"
"1","272865744213255","2.29465","-0.905899","9.02725"
"1","272865764202269","1.95598","-0.789932","9.55615"
"1","272865784191282","1.73225","-0.583725","9.69893"
"1","272865804180296","1.99353","-0.399979","9.92366"
"1","272865824169310","2.18164","-0.323334","10.6431"
"1","272865844158323","2.12282","-0.267487","10.2193"
"1","272865864147337","2.1537","-0.0144348","9.59788"
"1","272865884136351","2.21378","0.351425","9.62257"
"1","272865904125364","2.19012","0.410614","9.7728"
"1","272865924114378","2.01898","0.457947","9.81975"
"1","272865944103392","2.15572","0.491653","11.5914"
"1","272865964092405","2.29718","0.352814","12.8196"
"1","272865984081419","2.18285","0.282974","11.3452"
"1","272866004070433","1.95227","0.146713","9.35971"
"1","272866024059446","1.90367","0.269501","8.62672"
"1","272866044048460","2.30336","0.606232","10.0634"
"1","272866064037474","2.63237","0.780365","11.2828"
"1","272866084026487","3.07074","0.409882","10.7436"
"1","272866104015501","2.9115","0.152496","9.67598"
"1","272866124004515","2.67453","-0.0730591","8.83447"
"1","272866143993528","2.42526","-0.402649","8.12817"
"1","272866163982542","2.17929","-0.502212","7.80154"
"1","272866183971556","2.17155","-0.529099","7.87259"
"1","272866203960569","2.26746","-0.487732","8.29392"
"1","272866223949583","2.45995","-0.158585","8.63335"
"1","272866243938597","2.75218","0.485565","9.31236"
"1","272866263927610","2.88879","1.11789","9.95799"
"1","272866283916624","2.62862","1.35143","10.6126"
"1","272866303905638","2.23485","1.40401","10.7283"
"1","272866323894651","1.59656","1.55432","10.6168"
"1","272866343883665","1.13623","1.68617","11.5708"
"1","272866363872679","0.606262","2.21614","12.4843"
"1","272866383861692","0.34523","3.33052","14.509"
"1","272866403850706","1.16573","4.58467","14.7407"
"1","272866423839720","0.586212","4.98508","15.4378"
"1","272866443828733","-1.25574","4.34497","16.4635"
"1","272866463817747","-2.76254","4.08069","17.716"
"1","272866483806761","-0.346313","4.74568","15.4173"
"1","272866503795774","1.1489","5.44295","13.5522"
"1","272866523784788","-0.0958557","3.94579","12.8354"
"1","272866543773802","-1.66983","1.73102","12.1876"
"1","272866563762815","-2.02541","0.409775","11.7794"
"1","272866583751829","0.302979","-0.138779","9.89355"
"1","272866603740843","3.24699","0.447174","9.28633"
"1","272866623729856","4.90239","1.0594","8.84779"
"1","272866643718870","4.97522","0.46077","7.56912"
"1","272866663707884","4.127","-0.771866","6.99638"
"1","272866683696897","4.36906","-1.11322","5.64593"
"1","272866703685911","5.83101","-0.944946","4.98055"
"1","272866723674925","6.98694","-1.18533","4.50287"
"1","272866743663938","7.14786","-1.73651","3.11426"
"1","272866763652952","6.75621","-1.8308","4.55112"
"1","272866783641966","8.01396","-1.60561","11.2919"
"1","272866803630980","7.89479","-3.00363","5.9729"
"1","272866823619993","7.04721","-4.12331","2.01788"
"1","272866843609007","7.21039","-4.67783","3.24077"
"1","272866863598021","8.1543","-4.81412","0.975967"
"1","272866883587034","10.2428","-4.03123","-4.46214"
"1","272866903576048","11.9432","-2.5222","-17.2854"
