"action_uid","time_stamp","x_value","y_value","z_value"
"11","272907381341560","0.340317","-2.40474","9.5934"
"11","272907401330574","0.318283","-2.4081","9.47494"
"11","272907421319588","0.227203","-2.44681","9.46571"
"11","272907441308601","0.254883","-2.45546","9.56148"
"11","272907461297615","0.431213","-2.40344","10.2109"
"11","272907481286629","0.259995","-2.76402","10.2879"
"11","272907501275642","0.0197906","-2.19618","6.56288"
"11","272907521264656","0.838501","-2.22299","8.48292"
"11","272907541253670","0.409531","-2.87129","10.4492"
"11","272907561242683","0.0869904","-2.64607","11.4882"
"11","272907581231697","0.579483","-2.47108","10.3507"
"11","272907601220711","0.615036","-2.31108","9.96608"
"11","272907621209724","0.40918","-2.19548","9.80588"
"11","272907641198738","0.168045","-1.86745","10.3587"
"11","272907661187752","-0.020752","-1.77843","11.522"
"11","272907681176765","-0.801544","-1.76425","12.521"
"11","272907701165779","-1.62721","-1.54861","13.5831"
"11","272907721154793","-1.65417","-1.24983","14.6596"
"11","272907741143807","-1.3405","-0.934692","16.113"
"11","272907761132820","-1.82921","-1.54254","17.646"
"11","272907781121834","-4.06627","-2.65724","18.7232"
"11","272907801110848","-7.1817","-3.13214","18.5128"
"11","272907821099861","-8.21828","-4.52072","19.7052"
"11","272907841088875","-7.29675","-6.25726","21.4371"
"11","272907861077889","-6.54488","-6.57272","20.8318"
"11","272907881066902","-6.24974","-6.69879","19.1225"
"11","272907901055916","-6.08084","-7.12389","17.9965"
"11","272907921044930","-5.81589","-7.21651","18.3227"
"11","272907941033943","-5.30125","-6.57562","17.8238"
"11","272907961022957","-6.41519","-7.27898","16.1568"
"11","272907981011971","-7.49416","-9.18683","15.1749"
"11","272908001000984","-6.89688","-8.76819","11.8862"
"11","272908020989998","-5.18953","-8.73152","9.01283"
"11","272908040979012","-3.79414","-8.38554","6.1602"
"11","272908060968025","-1.64062","-7.11626","2.38187"
"11","272908080957039","0.48848","-4.98627","-0.265884"
"11","272908100946053","1.42302","-3.60472","0.575653"
"11","272908120935066","0.634659","-3.05731","0.278671"
"11","272908140924080","-0.221863","-3.06972","-2.95149"
"11","272908160913094","-1.04411","-3.51637","-5.96957"
"11","272908180902107","-0.705383","-4.12698","-4.71306"
"11","272908200891121","1.1353","-3.59201","-4.53996"
"11","272908220880135","5.27289","-1.26231","-6.66881"
"11","272908240869148","8.12868","1.02687","-3.44936"
"11","272908260858162","3.29225","0.0778351","1.52483"
"11","272908280847176","-3.62756","-3.38837","-1.44777"
"11","272908300836189","-5.78076","-4.90321","-5.87216"
