"action_uid","time_stamp","x_value","y_value","z_value"
"6","272886073060830","0.825958","-1.72462","9.72293"
"6","272886093049844","0.841095","-1.68159","9.84125"
"6","272886113038858","0.781616","-1.7103","10.2993"
"6","272886133027871","0.538803","-1.68336","8.95106"
"6","272886153016885","0.799759","-1.63747","8.46982"
"6","272886173005899","0.868729","-1.72314","9.45473"
"6","272886192994912","0.876938","-1.77705","10.6134"
"6","272886212983926","0.979004","-1.67793","10.8412"
"6","272886232972940","0.858444","-1.40176","10.8375"
"6","272886252961953","0.516159","-1.22929","11.0806"
"6","272886272950967","0.119492","-1.38821","11.5974"
"6","272886292939981","-0.713776","-1.63834","13.0717"
"6","272886312928994","-1.07219","-1.54524","14.9834"
"6","272886332918008","-1.30833","-0.847214","16.2646"
"6","272886352907022","-1.07246","-1.01639","16.2845"
"6","272886372896035","-0.340775","-2.16156","17.4191"
"6","272886392885049","0.39798","-3.08231","16.8704"
"6","272886412874063","2.09726","-3.49728","14.7774"
"6","272886432863076","5.70184","-2.87958","12.4125"
"6","272886452852090","8.63898","-1.58043","10.13"
"6","272886472841104","9.55931","-0.900909","9.01602"
"6","272886492830117","9.09477","-1.31288","8.97716"
"6","272886512819131","10.0528","-0.960922","10.5744"
"6","272886532808145","10.8041","-0.186127","11.0866"
"6","272886552797158","10.8042","0.450027","10.086"
"6","272886572786172","9.6508","0.60878","8.95123"
"6","272886592775186","7.00143","-0.402039","8.01973"
"6","272886612764199","4.89568","-1.50829","7.40836"
"6","272886632753213","4.50619","-1.49306","5.86722"
"6","272886652742227","5.30745","-0.30484","3.45351"
"6","272886672731240","5.93953","0.807938","0.678665"
"6","272886692720254","6.14012","1.11699","0.459534"
"6","272886712709268","5.51776","1.23097","1.76631"
"6","272886732698281","4.95959","1.02562","1.58073"
"6","272886752687295","4.05521","0.765289","1.02211"
"6","272886772676309","2.91911","0.395874","1.1181"
"6","272886792665322","2.46471","-0.960922","-1.00005"
"6","272886812654336","1.32304","-1.75484","-1.83133"
"6","272886832643350","-0.30809","-1.42006","-0.769379"
"6","272886852632363","-1.52156","-1.01799","-1.99516"
"6","272886872621377","-2.01283","-1.27759","-2.57326"
"6","272886892610391","-1.8873","-1.75914","-1.36118"
"6","272886912599404","-1.3502","-1.55186","0.735916"
"6","272886932588418","0.16452","-1.08719","1.30164"
"6","272886952577432","1.91969","-1.60407","0.17157"
"6","272886972566445","2.41512","-3.43866","-0.891678"
"6","272886992555459","1.42488","-5.81436","-1.73001"
"6","272887012544473","1.295","-7.10971","-2.33257"
"6","272887032533486","2.68318","-7.92537","-2.3145"
"6","272887052522500","4.81271","-9.6171","-1.56912"
"6","272887072511514","6.60815","-10.7825","0.802307"
"6","272887092500527","8.3118","-11.2308","2.81366"
"6","272887112489541","9.60634","-12.4402","2.90895"
"6","272887132478555","9.95287","-14.6839","4.25052"
"6","272887152467568","11.7214","-15.8394","8.34569"
"6","272887172456582","16.2028","-14.7226","9.81557"
"6","272887192445596","21.4125","-11.6907","8.96176"
"6","272887212434609","24.228","-8.62734","8.45325"
"6","272887232423623","22.9412","-8.11131","7.42584"
"6","272887252412637","19.8478","-8.88524","7.70978"
"6","272887272401651","19.3282","-8.67407","8.61179"
"6","272887292390664","20.5813","-7.17452","8.17296"
"6","272887312379678","22.9147","-5.18654","7.61467"
"6","272887332368692","23.9196","-3.82506","7.16428"
"6","272887352357705","21.4802","-3.99548","7.33699"
"6","272887372346719","18.0219","-4.66452","8.14002"
"6","272887392335733","17.1308","-3.8179","7.85245"
"6","272887412324746","17.578","-2.06483","5.82411"
"6","272887432313760","16.8582","-0.344772","5.18861"
"6","272887452302774","13.7603","0.251129","5.22781"
"6","272887472291787","9.58257","0.129639","5.62376"
"6","272887492280801","7.12265","0.51091","5.30838"
"6","272887512269815","7.16113","2.19429","3.7196"
"6","272887532258828","8.19133","4.21921","1.56494"
"6","272887552247842","7.91702","5.08769","1.47603"
"6","272887572236856","6.12904","4.47023","2.82475"
"6","272887592225869","4.78659","3.63849","5.33768"
"6","272887612214883","5.13678","3.24158","5.03803"
"6","272887632203897","4.99622","2.7298","2.06767"
"6","272887652192910","3.20912","1.33701","0.197098"
"6","272887672181924","0.985321","-0.0566559","-1.05476"
"6","272887692170938","-0.354858","-0.978012","-1.60651"
"6","272887712159951","-0.322983","-0.832718","-0.631805"
"6","272887732148965","0.00143433","0.0916901","0.696014"
"6","272887752137979","1.45993","0.983765","1.16495"
"6","272887772126992","0.869537","1.31024","0.234299"
"6","272887792116006","-0.701065","0.334564","0.0550537"
"6","272887812105020","0.206314","-0.29982","1.54515"
"6","272887832094033","2.9817","-0.179749","1.56712"
"6","272887852083047","3.88176","-0.386078","-0.452011"
"6","272887872072061","1.84012","-3.22165","-2.77811"
"6","272887892061074","-0.570084","-6.4231","-2.15358"
"6","272887912050088","0.518417","-7.74234","-0.325211"
"6","272887932039102","4.2392","-7.604","0.762634"
"6","272887952028115","6.60431","-7.6364","0.228348"
"6","272887972017129","6.73743","-9.66962","0.148438"
"6","272887992006143","6.65862","-11.6709","1.02138"
"6","272888011995156","8.61473","-12.0187","3.33751"
"6","272888031984170","11.9078","-10.7298","5.09891"
"6","272888051973184","13.4968","-9.89825","4.95456"
"6","272888071962197","12.3267","-10.698","3.96985"
"6","272888091951211","10.203","-12.2352","4.57761"
"6","272888111940225","10.2483","-12.0967","6.58456"
"6","272888131929238","12.0444","-10.6451","7.13928"
"6","272888151918252","13.3588","-9.16344","7.54761"
"6","272888171907266","13.1299","-8.7354","7.51355"
"6","272888191896279","12.4173","-8.94707","6.52927"
"6","272888211885293","11.9269","-8.67105","7.49002"
"6","272888231874307","12.5912","-7.52365","9.3101"
"6","272888251863320","14.0815","-5.44629","9.50192"
"6","272888271852334","14.9652","-4.03537","9.36746"
"6","272888291841348","14.7868","-3.76747","9.42256"
"6","272888311830361","13.3013","-3.53143","8.37483"
"6","272888331819375","12.0392","-3.5183","8.55087"
"6","272888351808389","10.4756","-3.94168","9.33897"
"6","272888371797402","9.08356","-4.42188","9.34009"
"6","272888391786416","8.08627","-4.61436","8.98761"
"6","272888411775430","7.57225","-4.40318","8.1087"
"6","272888431764443","7.43167","-3.8289","6.95676"
"6","272888451753457","6.76361","-3.57268","6.32724"
"6","272888471742471","5.38609","-3.69835","6.976"
"6","272888491731484","4.02512","-3.62418","8.95451"
"6","272888511720498","3.26581","-3.5153","10.698"
"6","272888531709512","3.27307","-3.3559","10.0624"
"6","272888551698526","3.49887","-2.83421","7.94893"
"7","272890110841592","0.486893","-0.893066","8.46693"
"7","272890130830606","0.850052","-0.747086","9.76448"
"7","272890150819619","0.676727","-0.762482","9.73477"
"7","272890170808633","1.01859","-0.704117","9.69313"
"7","272890190797647","1.00284","-0.78859","9.91518"
"7","272890210786660","0.769135","-1.02858","10.3225"
"7","272890230775674","0.671738","-1.01546","10.7918"
"7","272890250764688","0.802948","-0.822845","11.0795"
"7","272890270753701","0.987244","-0.638748","11.552"
"7","272890290742715","1.00838","-0.331284","11.8828"
"7","272890310731729","1.19157","-0.473465","12.2461"
"7","272890330720742","0.930099","-0.842102","12.9717"
"7","272890350709756","0.0596466","-1.18457","13.181"
"7","272890370698770","0.450607","-1.92316","13.9995"
"7","272890390687783","2.08757","-1.8575","15.3575"
"7","272890410676797","3.97096","-0.779922","15.1223"
"7","272890430665811","5.44899","0.00752258","14.4977"
"7","272890450654824","6.26854","0.713608","15.1133"
"7","272890470643838","6.49619","0.906799","15.1099"
"7","272890490632852","6.99495","1.26369","14.0783"
"7","272890510621865","7.36935","1.46725","12.6535"
"7","272890530610879","7.62012","1.72136","10.982"
"7","272890550599893","7.97583","2.20358","8.74889"
"7","272890570588906","8.0358","2.07771","7.70816"
"7","272890590577920","6.80827","1.73648","8.4268"
"7","272890610566934","5.98416","1.47897","9.23398"
"7","272890630555947","5.18538","1.5386","8.17397"
"7","272890650544961","3.66927","1.51402","4.2838"
"7","272890670533975","1.96205","0.715103","2.14191"
"7","272890690522988","2.77649","1.0153","2.64691"
"7","272890710512002","4.61612","2.16747","3.4117"
"7","272890730501016","5.371","2.35751","3.32808"
"7","272890750490029","3.99561","0.901886","3.66913"
"7","272890770479043","1.52002","-1.12984","3.00058"
"7","272890790468057","-0.381378","-2.79382","1.39218"
"7","272890810457070","-1.11934","-3.31725","-0.45018"
"7","272890830446084","-1.55733","-3.34021","-2.2323"
"7","272890850435098","-1.45569","-3.28606","-2.00349"
"7","272890870424111","-0.204086","-2.55392","-2.57382"
"7","272890890413125","0.889847","-2.50348","-4.30258"
