"action_uid","time_stamp","x_value","y_value","z_value"
"16","272930682550264","0.0150146","0.0417023","-0.0334778"
"16","272930882440401","-0.0696411","0.100357","0.0401459"
"16","272931082330538","0.260712","-0.139877","0.37793"
"16","272931282220674","0.405502","-1.14789","0.409576"
"16","272931482110811","-0.703201","-0.649582","-0.545273"
"16","272931682000948","-0.869644","0.451996","-0.879379"
"16","272931881891084","-0.890549","1.61282","-0.082962"
"16","272932081786295","-0.535706","1.21219","0.880066"
"16","272932281676432","0.572571","0.242111","1.27989"
"16","272932481566569","0.616257","-1.6252","0.0126801"
"17","272933680907389","-0.0251923","0.0111542","-0.00746155"
"17","272933880797526","-0.023407","0.176483","0.113144"
"17","272934080687662","0.285522","-0.748825","0.434753"
"17","272934280577799","-0.22023","-1.40976","-0.504608"
"17","272934480467936","-0.453552","0.306717","-1.41313"
"17","272934680358072","-1.29376","1.25177","-0.309647"
"17","272934880248209","-1.26436","1.2715","1.32666"
"17","272935080138346","0.431778","1.14902","1.16977"
"17","272935280028483","1.01999","-0.84584","0.736099"
"17","272935479918619","-0.385742","-1.49806","0.150864"
"17","272935679808756","0.15741","-0.151657","-0.296692"
"18","272936679259440","-0.0152435","0.0220795","0.00810242"
"18","272936879149576","0.198959","0.228485","0.238617"
"18","272937079039713","0.0249023","-0.768082","0.106628"
"18","272937278929850","-0.275894","-0.499207","-0.704514"
"18","272937478819987","-0.659286","0.776672","-0.985016"
"18","272937678710123","-1.20036","1.33151","-0.155396"
"18","272937878600260","-0.628754","1.03455","1.3761"
"18","272938078490397","0.483246","-0.189865","1.50165"
"18","272938278380533","0.319183","-1.784","0.207001"
"18","272938478270670","-0.197571","-1.01126","-0.435822"
"19","272940077391764","0.00152588","-0.00750732","-0.00822449"
"19","272940277281901","-0.0208893","0.0216217","0.00975037"
"19","272940477172037","0.190048","-0.297302","0.19519"
"19","272940677062174","0.646378","-1.18427","-0.319778"
"19","272940876952311","-0.909958","0.105484","-0.879288"
"19","272941076842447","-1.26854","1.26439","-0.76738"
"19","272941276732584","-1.41454","1.33621","1.09271"
"19","272941476622721","0.416763","1.12109","1.55754"
"19","272941676512858","0.838272","-1.53856","0.679291"
"19","272941876419843","-0.0667114","-1.81078","-0.44136"
"20","272943475540937","-0.046875","-0.0261993","0.000213623"
"20","272943675431074","0.0971375","-0.00747681","0.109589"
"20","272943875321211","0.209946","-1.25282","-0.121445"
"20","272944075211347","-0.0581665","-0.586441","-0.395447"
"20","272944275101484","-1.08452","1.14","-1.26221"
"20","272944474991621","-1.52959","1.64578","0.214722"
"20","272944674881757","-0.481384","1.10194","1.49478"
"20","272944874771894","1.00162","-0.191238","1.05299"
"20","272945074662031","0.142456","-2.10062","0.508408"
"20","272945274552168","-0.295563","-0.628326","-0.278595"
"36","273017035121201","0.138229","0.0795898","0.0402985"
"36","273017235011337","-0.0841675","0.0194092","-0.00584412"
"36","273017434901474","0.1259","0.180298","0.310669"
"36","273017634791611","0.316422","-0.933914","0.643265"
"36","273017834681747","-0.383347","-0.809311","-0.402618"
"36","273018034571884","-0.723053","0.245285","-1.29681"
"36","273018234462021","-1.22871","1.23544","-0.138397"
"36","273018434352158","-0.8228","1.38707","1.041"
"36","273018634242294","0.300049","0.158813","1.15569"
"36","273018834132431","0.884399","-0.948044","0.292511"
"36","273019034022568","0.534302","-1.51523","-0.354385"
"36","273019233912704","-0.338501","0.0245972","0.0139008"
"37","273020033473251","0.0226135","0.0568542","-0.0206146"
"37","273020233363388","-0.0983124","0.12709","0.093689"
"37","273020433253525","0.3405","-0.211746","0.263367"
"37","273020633143662","0.178558","-1.05037","0.204987"
"37","273020833033798","-0.275116","-0.222046","-0.697861"
"37","273021032923935","-0.846237","1.1745","-1.06445"
"37","273021232814072","-1.18214","1.46706","0.0258636"
"37","273021432704208","-0.705734","1.05688","1.19974"
"37","273021632594345","0.453064","0.189468","1.10701"
"37","273021832484482","0.270111","-1.50714","0.590347"
"37","273022032378947","0.331329","-1.17252","-0.370499"
"38","273022831939493","0.0195007","-0.085968","-0.0424805"
"38","273023031829630","-0.0538483","0.00866699","0.0358276"
"38","273023231719767","0.107819","-0.0388794","0.0865021"
"38","273023431609904","0.471756","-0.919937","-0.372574"
"38","273023631500040","-0.360809","-0.988083","-0.674408"
"38","273023831390177","-1.00563","1.26782","-0.78215"
"38","273024031280314","-1.4427","1.69467","0.193527"
"38","273024231170450","-0.225952","1.38953","1.16626"
"38","273024431060587","0.270401","-0.253677","1.53632"
"38","273024630950724","0.244736","-2.28185","0.121841"
"38","273024830840861","-0.0325317","-0.820679","-0.296066"
"39","273026829742228","0.0394287","0.00158691","-0.021347"
"39","273027029632365","0.0267792","-0.0754852","0.0334778"
"39","273027229522501","0.5439","-0.510529","0.168304"
"39","273027429412638","0.00898743","-1.15532","-0.523788"
"39","273027629302775","-0.690491","0.452011","-0.917084"
"39","273027829192911","-1.30722","1.59267","-0.672806"
"39","273028029083048","-1.58354","1.05692","0.932037"
"39","273028228973185","0.527588","1.076","1.46434"
"39","273028428863322","0.437317","-1.02081","0.860092"
"39","273028628753458","0.287277","-2.1604","-0.509323"
"39","273028828643595","-0.292465","-0.681305","-0.265381"
"40","273029828094279","-0.062149","0.0799713","0.0170288"
"40","273030027984415","0.573883","-0.117203","0.519684"
"40","273030227874552","0.177216","-1.33846","-0.174728"
"40","273030427764689","-0.335541","0.244034","-0.854568"
"40","273030627654825","-1.03107","1.44199","-1.06544"
"40","273030827544962","-1.56253","1.37762","0.129517"
"40","273031027435099","-0.149612","0.874268","1.20592"
"40","273031227325236","0.325867","-0.60051","1.0314"
"40","273031427215372","0.198074","-2.16237","0.0988007"
"56","273100988971803","0.0956421","-0.0413818","0.00692749"
"56","273101188861940","-0.0763855","0.0308228","0.0375671"
"56","273101388752077","0.300888","-0.048584","0.548203"
"56","273101588642214","-0.192718","-1.67839","0.0983124"
"56","273101788532350","-0.538681","-0.0654907","-0.631638"
"56","273101988422487","-0.568191","1.58972","-0.991776"
"56","273102188303994","-1.12819","1.35213","0.174469"
"56","273102388194130","-0.516647","0.880432","1.35001"
"56","273102588084267","0.514648","-0.323471","1.21242"
"56","273102787974404","0.287537","-2.0471","-0.278595"
"56","273102987864541","0.0900879","-0.384918","-0.471954"
"57","273104586985634","-0.0219269","-0.0603485","-0.013092"
"57","273104786875771","-0.0239563","-0.0709686","0.0692444"
"57","273104986765908","0.108704","-1.0589","0.307709"
"57","273105186656045","-0.233749","-1.29384","-0.549591"
"57","273105386546181","-0.57695","0.454483","-0.981705"
"57","273105586436318","-1.05209","1.54654","-0.270416"
"57","273105786326455","-0.969574","1.57454","0.580765"
"57","273105986216591","-0.196091","1.05739","1.22636"
"57","273106186106728","0.570587","-0.34697","1.11563"
"57","273106385996865","0.322418","-2.10199","0.259003"
"57","273106585887002","-0.00549316","-0.773865","-0.515457"
"57","273106785777138","-0.0352478","0.123566","-0.0996704"
"58","273107985117959","-0.0218506","-0.0111084","0.0151215"
"58","273108185008095","0.301208","0.155624","0.285034"
"58","273108384898232","0.207275","-1.1268","-0.0229645"
"58","273108584788369","-0.379532","-0.712509","-0.856384"
"58","273108784678505","-1.03941","0.459579","-0.965118"
"58","273108984568642","-1.18446","1.40919","0.142807"
"58","273109184458779","-0.106964","1.52747","0.757507"
"58","273109384348916","-0.134613","0.372376","1.23759"
"58","273109584239052","0.725616","-1.44713","0.751495"
"58","273109784129189","0.0942078","-1.30405","0.0163269"
"58","273109984019326","-0.10939","-0.270935","-0.310745"
"59","273110783579873","0.0172119","0.0155029","-0.0386047"
"59","273110983470009","-0.0127869","0.0251007","-0.000823975"
"59","273111183360146","0.207153","0.17749","0.175888"
"59","273111383250283","0.477859","-1.09283","0.161453"
"59","273111583140420","-0.561783","-1.19997","-0.180771"
"59","273111783030556","-0.860748","0.808975","-1.10193"
"59","273111982913746","-1.27431","1.7979","-0.431793"
"59","273112182803883","-1.05548","1.40466","1.00133"
"59","273112382694019","0.680298","0.416809","1.00252"
"59","273112582584156","0.526031","-1.27924","0.914612"
"59","273112782474293","0.0801544","-1.72231","-0.248352"
"60","273114381595387","-0.0643463","-0.0508118","6.10352e-05"
"60","273114581485523","0.232101","-0.751511","0.12767"
"60","273114781375660","-0.142532","-1.39061","-0.623322"
"60","273114981265797","-0.529114","0.467361","-0.986526"
"60","273115181155933","-1.11797","1.41582","-0.642731"
"60","273115381046070","-1.4968","1.377","1.15959"
"60","273115580936207","0.243958","1.29146","1.57623"
"60","273115780826344","0.283691","-1.00684","0.9245"
"60","273115980716480","0.0725403","-2.11655","-0.233871"
"60","273116180606617","0.0313416","-0.601318","-0.327133"
"76","273187141612638","0.0129242","-0.0962067","0.0457001"
"76","273187341502775","0.0204315","0.0751495","0.0285645"
"76","273187541392912","-0.00660706","-0.098587","0.345932"
"76","273187741283048","0.553467","-0.584869","0.932648"
"76","273187941173185","-0.530518","-1.36723","-0.186615"
"76","273188141063322","-0.467224","-0.0833283","-0.958389"
"76","273188340953459","-1.14189","1.78922","-0.553299"
"76","273188540843595","-0.832764","1.8658","0.846161"
"76","273188740733732","-0.0415649","0.579773","1.70235"
"76","273188940623869","0.272964","-2.2272","-0.0424194"
"77","273190739635099","0.0123291","-0.000595093","-0.0152588"
"77","273190939525236","-0.0939941","0.123444","0.052002"
"77","273191139415373","0.283966","-0.472504","0.416275"
"77","273191339305509","-0.0262146","-1.20367","-0.277206"
"77","273191539195646","-0.547501","-0.0100861","-1.20985"
"77","273191739085783","-1.18048","1.6611","-0.765793"
"77","273191938975919","-1.18385","1.54826","0.719528"
"77","273192138850379","0.065918","0.67279","1.59097"
"77","273192338740516","0.660767","-1.16158","0.939133"
