"action_uid","time_stamp","x_value","y_value","z_value"
"1","272865518383177","0.0817566","0.0337524","-0.0301971"
"1","272865718273313","0.069519","-0.01474","0.015152"
"1","272865918163450","0.29454","-0.190918","0.0629883"
"1","272866118053587","0.620361","0.156128","0.27182"
"1","272866317943724","0.582901","0.0431671","0.130203"
"1","272866517833860","3.19073","-0.318848","1.7937"
"1","272866717723997","3.71759","-0.039032","1.82829"
"1","272866917614134","2.59746","1.37642","1.00021"
"1","272867117504271","-0.893433","-0.965195","0.533417"
"1","272867317394407","1.09952","0.968964","-0.289917"
"1","272867517284544","-3.56409","1.41612","-2.1743"
"1","272867717174681","-3.8232","0.8078","-2.90163"
"1","272867917064817","-1.45309","0.435089","-2.07054"
"1","272868116954954","-0.220154","-0.202332","-0.79306"
"2","272869716076048","0.00926208","0.00468445","0.00102234"
"2","272869915966185","-0.023468","-0.0178528","0.0470428"
"2","272870115856321","0.317184","-0.132401","0.228882"
"2","272870315746458","2.62231","-0.576874","2.26834"
"2","272870515636595","4.48888","-0.2892","2.06158"
"2","272870715526731","3.80627","0.558701","1.53505"
"2","272870915416868","-0.925949","-0.36232","0.661682"
"2","272871115307005","0.761017","0.802109","-0.321487"
"2","272871315197142","-3.02596","0.906662","-1.62012"
"2","272871515087278","-3.60699","0.589462","-2.48305"
"2","272871714977415","-2.94746","0.361771","-2.43599"
"2","272871914867552","-0.739914","0.150833","-1.08568"
"2","272872114748713","0.455093","0.531265","-0.699402"
"3","272873314089534","0.0162811","-0.0238342","-0.0239563"
"3","272873513979671","-0.0411377","-0.019516","0.0361481"
"3","272873713869807","0.0328064","-0.276154","0.0744019"
"3","272873913759944","2.40845","-0.361938","2.05527"
"3","272874113650081","4.04388","-0.475571","2.29294"
"3","272874313540217","4.3181","0.837021","1.28543"
"3","272874513430354","-0.827621","-0.285187","0.862534"
"3","272874713320491","0.858582","0.501694","-0.0144348"
"3","272874913210628","-1.52133","0.292603","-0.608566"
"3","272875113100764","-3.53314","0.641266","-1.86659"
"3","272875312990901","-2.93829","1.05251","-2.71262"
"3","272875512881038","-1.20236","0.373901","-2.10803"
"3","272875712771174","-0.289749","-0.233826","-0.424622"
"3","272875912661311","-0.183701","0.04599","-0.280792"
"4","272877511782405","-0.147598","-0.0915222","0.0791626"
"4","272877711672542","0.0194702","-0.0884094","-0.0369873"
"4","272877911562678","1.08258","-0.177933","0.776398"
"4","272878111452815","4.01814","-0.717316","2.82243"
"4","272878311342952","5.28986","-0.279068","1.84363"
"4","272878511233088","1.21472","0.637329","1.03195"
"4","272878711123225","0.229538","-0.0123749","0.542679"
"4","272878911013362","-1.02643","0.275375","-0.113953"
"4","272879110903499","-3.50655","1.73752","-1.6795"
"4","272879310793635","-3.9209","1.40892","-1.58852"
"4","272879510683772","-2.16566","1.62965","-2.48914"
"4","272879710573909","0.171524","0.930634","-1.82027"
"4","272879910464046","-0.0190887","-0.232529","0.0832062"
"5","272881509585139","-0.0341492","-0.0564575","0.0435638"
"5","272881709475276","0.0178375","-0.198883","0.0171967"
"5","272881909365413","1.89516","-0.480469","1.67941"
"5","272882109285195","4.10303","-0.258911","2.81543"
"5","272882309175332","4.57228","-0.535385","2.15482"
"5","272882509065469","0.168655","0.0139771","1.01881"
"5","272882708955606","0.612045","0.326828","-0.131302"
"5","272882908845742","-1.7554","0.662674","-0.216049"
"5","272883108735879","-3.79652","1.94235","-2.81331"
"5","272883308626016","-3.5274","0.763336","-2.87402"
"5","272883508516152","-1.2388","0.378662","-1.58511"
"5","272883708406289","-0.136459","0.52597","-0.626999"
"21","272952470606730","0.065094","0.0234528","0.0312042"
"21","272952670496867","-0.0282288","-0.0875549","0.025238"
"21","272952870387004","0.100449","-0.14624","0.0242157"
"21","272953070277141","1.07759","-0.93837","0.811203"
"21","272953270167277","4.16077","-0.264282","2.31816"
"21","272953470057414","4.70454","0.235275","1.29485"
"21","272953669947551","1.33794","0.828003","0.561096"
"21","272953869837687","0.24884","-0.21965","0.248672"
"21","272954069727824","-0.98262","0.95404","-0.658386"
"21","272954269617961","-4.13057","1.207","-2.37946"
"21","272954469508098","-3.17322","0.510345","-2.91626"
"21","272954669398234","-0.965515","0.145233","-1.90155"
"22","272956268519328","0.0184326","-0.00430298","0.00454712"
"22","272956468409465","-0.131866","-0.193268","0.0437317"
"22","272956668299602","0.972244","-0.405258","0.973328"
"22","272956868189738","4.32918","-0.257828","2.74812"
"22","272957068079875","4.82712","-0.32254","1.63728"
"22","272957267970012","0.942078","0.821411","0.702972"
"22","272957467860148","0.306046","-0.191132","0.363693"
"22","272957667750285","-0.409973","0.393204","-0.0554504"
"22","272957867640422","-3.62541","1.17891","-2.20847"
"22","272958067530559","-4.24615","-0.10907","-2.78999"
"22","272958267420695","-1.92575","0.816544","-1.86873"
"22","272958467310832","-0.00691223","0.424469","-0.585739"
"23","272960466212199","0.116043","0.0478058","0.0807037"
"23","272960666102336","-0.0487518","-0.279892","0.19371"
"23","272960865992473","2.27336","0.00787353","1.57928"
"23","272961065882609","4.72981","-0.403702","3.18323"
"23","272961265772746","3.76703","0.769043","0.88063"
"23","272961465662883","-1.38205","-0.423904","0.896866"
"23","272961665553019","1.34312","0.722641","-0.00572205"
"23","272961865443156","-1.85146","1.0546","-0.828491"
"23","272962065330310","-3.37692","0.99675","-3.08495"
"23","272962265220447","-3.09142","0.353668","-2.18684"
"23","272962465110583","-0.996429","0.666687","-2.49448"
"24","272964264121814","-0.274063","-0.240036","0.0903625"
"24","272964464011951","0.248535","-0.234756","0.194931"
"24","272964663902087","2.78972","-0.440674","2.44012"
"24","272964863792224","4.77524","-0.947769","2.32416"
"24","272965063682361","3.2227","0.749344","1.15202"
"24","272965263572497","-0.857849","-0.427811","0.775452"
"24","272965463462634","0.601501","1.00719","-0.357727"
"24","272965663352771","-2.6163","0.53302","-1.35037"
"24","272965863242908","-3.98274","0.618637","-1.71658"
"24","272966063133044","-2.75533","1.34227","-2.1153"
"24","272966263023181","-0.0827789","0.944107","-1.61961"
"25","272968261924548","-0.494354","-0.35228","0.0921631"
"25","272968461814685","0.753143","-0.0167694","0.369751"
"25","272968661704822","2.58342","-0.243881","2.25433"
"25","272968861594958","3.84087","-0.798035","2.75665"
"25","272969061485095","3.41893","-0.117737","1.53061"
"25","272969261375232","-0.880295","-0.364899","0.446381"
"25","272969461265369","0.740066","0.872864","-0.329498"
"25","272969661155505","-2.55017","0.564651","-0.92279"
"25","272969861045642","-3.59344","1.18103","-2.28059"
"25","272970060935779","-2.8526","0.668808","-2.39703"
"25","272970260825915","-0.67662","0.411621","-1.10144"
"41","273037024106689","-0.0965729","-0.113525","0.0113831"
"41","273037223996826","-0.0151062","-0.0573425","0.0404816"
"41","273037423886963","1.03535","0.00669861","0.504456"
"41","273037623777100","3.31508","0.0478516","2.88571"
"41","273037823667236","4.58453","-0.465042","1.99539"
"41","273038023557373","2.88335","0.739914","0.676895"
"41","273038223447510","-0.963226","-0.553696","0.123734"
"41","273038423337646","1.4283","0.692902","0.0749359"
"41","273038623227783","-2.5217","0.281281","-1.07042"
"41","273038823117920","-4.46016","0.973694","-3.68806"
"41","273039023008057","-2.68474","-0.449875","-2.39688"
