"action_uid","time_stamp","x_value","y_value","z_value"
"11","272907295434578","0.0187378","0.00126648","-0.0621033"
"11","272907495324715","-0.150375","-0.103104","-0.111938"
"11","272907695214851","-0.808243","0.382797","-0.268463"
"11","272907895104988","1.67281","-0.121078","2.93163"
"11","272908094995125","5.77245","-6.20149","2.94243"
"11","272908294885262","3.19836","-5.45506","0.793457"
"11","272908494775398","-0.154709","9.16473","0.420456"
"11","272908694665535","0.270905","-5.39169","0.106201"
"11","272908894555672","0.0398102","-4.05574","-0.0907898"
"11","272909094445808","-0.0466766","10.0498","-0.726791"
"11","272909294335945","-0.362427","0.838699","-0.674347"
"11","272909494226082","-2.07771","1.20885","-2.3428"
"11","272909694116219","-2.6664","0.138489","-2.42226"
"11","272909894006355","-1.01703","0.207153","-1.26512"
"12","272911693017586","0.0122223","0.0504456","0.00431824"
"12","272911892895007","-0.313797","-0.0393829","0.144196"
"12","272912092785143","1.15808","1.40492","2.19251"
"12","272912292675280","3.98552","-2.19318","3.8913"
"12","272912492565417","4.01459","-9.60674","1.90898"
"12","272912692455553","0.86142","8.24728","0.387939"
"12","272912892345690","0.016983","-0.855255","-0.238602"
"12","272913092235827","0.757767","-8.56206","1.27606"
"12","272913292125964","-1.27092","6.49554","-0.331955"
"12","272913492016100","0.712646","3.5589","-0.37384"
"12","272913691906237","-0.583679","0.517593","-0.706451"
"12","272913891796374","-2.02827","2.01695","-1.62424"
"12","272914091686510","-2.39671","1.50891","-2.27986"
"13","272915690807604","0.0415039","0.0588531","0.0186157"
"13","272915890697741","-0.174835","-0.0596161","0.136307"
"13","272916090587878","0.692963","0.238022","1.54915"
"13","272916290478014","4.18895","-1.24306","3.02664"
"13","272916490368151","2.81909","-5.17491","2.5383"
"13","272916690258288","1.55176","-6.0954","0.542603"
"13","272916890148424","-0.121475","9.47729","-0.238632"
"13","272917090038561","0.833298","-7.60825","0.608002"
"13","272917289928698","-0.375336","-1.39217","0.532196"
"13","272917489818835","-0.685562","10.6581","-0.71965"
"13","272917689708971","0.0488434","0.0683136","-0.608002"
"13","272917889599108","-1.70621","0.0179443","-1.21893"
"13","272918089489245","-2.81401","0.835465","-1.38814"
"13","272918289379382","-2.05836","0.461807","-1.23361"
"14","272919688610339","-0.118652","0.0775604","0.0965271"
"14","272919888500475","0.539124","0.673355","0.783173"
"14","272920088390612","2.35478","-0.305527","2.34053"
"14","272920288280749","3.60635","-3.4227","2.49052"
"14","272920488170885","2.91045","-8.60881","1.15216"
"14","272920688061022","-1.02954","10.2102","-0.335129"
"14","272920887951159","0.39415","-4.35849","0.720047"
"14","272921087841296","0.193222","-6.16231","0.768356"
"14","272921287731432","-0.919281","9.24408","-0.18161"
"14","272921487621569","0.0248108","1.4695","-0.737793"
"14","272921687511706","-1.2742","0.656555","-0.811752"
"14","272921887384248","-3.08076","1.18646","-2.22986"
"15","272923486505342","0.0331116","0.0215302","0.0227509"
"15","272923686395479","-0.107834","0.114731","0.0253296"
"15","272923886285616","0.561279","1.25404","1.26283"
"15","272924086175752","2.35912","-0.449951","3.39362"
"15","272924286065889","2.66939","-6.21695","2.78626"
"15","272924485956026","1.4953","-6.92163","0.894623"
"15","272924685846163","-1.21687","10.3364","-0.101761"
"15","272924885736299","1.36891","-7.62862","0.0381012"
"15","272925085626436","0.196884","-1.78763","0.224869"
"15","272925285516573","-1.62671","9.08293","-0.436935"
"15","272925485406709","-0.414276","0.932068","-0.817963"
"15","272925685296846","-1.75464","1.26341","-1.60011"
"15","272925885186983","-2.34789","0.277832","-1.87158"
"15","272926085077120","-1.06903","0.488159","-1.98004"
"31","272994247616845","0.0262146","0.0534515","-0.0597076"
"31","272994447506981","-0.195221","0.00480652","0.0118561"
"31","272994647397118","0.655533","0.062912","1.42763"
"31","272994847287255","5.43829","-4.70419","2.29077"
"31","272995047177392","3.8922","-6.17912","0.106979"
"31","272995247067528","0.146912","10.1884","0.167068"
"31","272995446957665","0.820724","-9.5052","0.60347"
"31","272995646847802","0.0844269","-0.459198","0.585632"
"31","272995846737938","0.30806","8.28113","-0.195267"
"31","272996046628075","-0.44928","1.27042","-0.79071"
"31","272996246518212","-1.69666","1.67279","-1.911"
"31","272996446408349","-1.76826","0.766891","-2.77683"
"31","272996646298485","-1.64903","0.02948","-2.48456"
"32","272998045529442","0.0825348","0.0912476","0.03508"
"32","272998245419579","-0.0379944","0.0032196","0.264343"
"32","272998445309716","0.573837","2.12732","2.42184"
"32","272998645199852","2.47499","-1.21004","4.18042"
"32","272998845089989","4.51405","-11.7882","2.42049"
"32","272999044980126","-0.349548","6.8737","0.471146"
"32","272999244870263","0.584","0.385193","-0.112473"
"32","272999444760399","1.65161","-8.52036","0.449493"
"32","272999644650536","-0.798233","9.8615","0.254166"
"32","272999844540673","-0.200943","1.02061","-0.517837"
"32","273000044430809","-0.478271","1.5038","-1.22105"
"32","273000244320946","-1.93996","0.671143","-2.14381"
"32","273000444211083","-1.79141","0.576996","-2.3649"
"33","273002043344358","0.0739746","0.012146","0.145538"
"33","273002243234494","-0.262344","-0.0354767","-0.0128937"
"33","273002443124631","1.13742","1.22769","0.810318"
"33","273002643014768","3.54579","-0.45752","3.3232"
"33","273002842904905","4.72939","-9.10185","3.312"
"33","273003042795041","-0.377502","4.09608","-0.163757"
"33","273003242685178","0.0534973","3.48035","0.749527"
"33","273003442575315","1.36426","-9.5932","0.684204"
"33","273003642465451","-0.948013","6.30508","0.0791931"
"33","273003842355588","0.305634","3.653","-0.72609"
"33","273004042245725","-0.347214","1.28143","-0.793198"
"33","273004242135862","-1.51395","1.37201","-1.71707"
"33","273004442025998","-1.9608","0.67749","-2.24266"
"33","273004641916135","-1.2547","0.182571","-2.47147"
"34","273006440927365","-0.0330658","0.00790405","0.129013"
"34","273006640817502","0.549454","1.10666","1.6689"
"34","273006840707639","2.42523","0.662964","3.89006"
"34","273007040597776","4.47215","-10.7683","2.7823"
"34","273007240487912","0.209427","4.36044","-0.158508"
"34","273007440378049","0.0489502","2.24098","0.470322"
