"action_uid","time_stamp","x_value","y_value","z_value"
"6","272886107087930","-0.0671387","-0.0384827","0.0473785"
"6","272886306978067","0.550766","-1.12169","1.18404"
"6","272886506868203","3.33192","-3.5153","3.43654"
"6","272886706758340","3.48294","-2.32748","-0.0100708"
"6","272886906648477","1.88382","-0.411331","0.0599518"
"6","272887106538613","-0.237289","1.84473","2.01265"
"6","272887306428750","-1.19218","1.64978","0.67395"
"6","272887506318887","0.345734","0.675644","-2.1783"
"6","272887706209024","2.50021","-2.39665","-1.50209"
"6","272887906099160","1.02998","0.652725","1.3208"
"6","272888105989297","-1.73955","2.1597","2.04675"
"6","272888305879434","-2.86816","3.37521","-0.964172"
"7","272890104890664","0.0469818","-0.0272675","0.0246735"
"7","272890304780801","0.098114","-1.00726","0.457291"
"7","272890504670938","2.69392","-3.11388","2.99361"
"7","272890704561074","3.48306","-2.1234","0.193726"
"7","272890904451211","1.89296","0.0574188","0.719376"
"7","272891104341348","-0.816086","1.45522","1.99855"
"7","272891304231484","-1.26454","1.36256","0.466522"
"7","272891504121621","0.113739","0.335373","-2.08771"
"7","272891704011758","2.46521","-1.7748","-1.83145"
"7","272891903901895","1.34973","0.297867","1.24855"
"7","272892103764315","-1.16019","1.89389","2.26593"
"7","272892303654452","-2.68542","3.34792","-0.900482"
"8","272894102665683","-0.0401764","-0.0532837","0.0503998"
"8","272894302555819","0.529388","-1.00014","0.894302"
"8","272894502445956","3.04222","-2.87422","3.03262"
"8","272894702336093","3.50778","-3.17314","-0.254196"
"8","272894902226229","1.54391","1.23029","1.32457"
"8","272895102116366","-0.960541","2.10199","1.96425"
"8","272895302006503","-1.11276","1.27676","-0.186783"
"8","272895501896640","0.311066","0.229309","-2.02359"
"8","272895701786776","2.26913","-2.07045","-1.84467"
"8","272895901676913","1.26363","0.0954895","1.08789"
"8","272896101567050","-0.790237","1.95006","2.57915"
"8","272896301457186","-2.51445","2.89986","0.164185"
"8","272896501347323","-1.48587","4.63069","-3.67334"
"8","272896701237460","0.488937","2.4263","-2.48705"
"9","272898100468417","0.0327454","0.0177765","-0.0208282"
"9","272898300358554","-0.0303802","-0.19986","0.0600433"
"9","272898500248690","1.54074","-1.17273","2.05791"
"9","272898700138827","3.21674","-1.92664","3.1657"
"9","272898900028964","3.31233","-1.55469","0.992813"
"9","272899099919101","0.206894","0.816467","1.74181"
"9","272899299809237","-1.65605","2.23706","1.68634"
"9","272899499699374","-0.74733","1.2126","-1.93976"
"9","272899699589511","1.92473","-0.88266","-1.78769"
"9","272899899479647","2.17789","-1.57289","0.207977"
"9","272900099369784","0.074707","1.14081","2.55354"
"9","272900299259921","-1.78358","2.86729","1.62575"
"9","272900499150058","-1.79974","3.14461","-1.6824"
"9","272900699040194","0.420792","3.39844","-3.37596"
"10","272902697961433","0.0368195","0.016449","0.0187378"
"10","272902897851570","0.0497589","-0.367172","0.288315"
"10","272903097741707","2.36919","-2.30055","2.87524"
"10","272903297631844","3.31621","-3.0802","1.62244"
"10","272903497521980","2.83728","-1.07912","-0.113266"
"10","272903697412117","0.267273","1.69223","1.36275"
"10","272903897302254","-1.72144","1.97418","1.93311"
"10","272904097192390","-0.882217","0.563812","-1.10271"
"10","272904297082527","1.34595","-0.688263","-2.26811"
"10","272904496972664","2.15247","-1.59442","-0.917038"
"10","272904696862801","0.0781097","1.08118","1.92805"
"10","272904896752937","-1.89693","2.73079","1.77132"
"10","272905096643074","-2.38303","4.16345","-2.20683"
"26","272972059816277","0.0701752","-0.106857","0.0876617"
"26","272972259706414","0.685928","-0.603638","1.11806"
"26","272972459596550","3.87898","-1.58698","3.71831"
"26","272972659486687","4.06766","-2.914","1.54832"
"26","272972859376824","0.883896","0.718735","1.65758"
"26","272973059266960","-1.83611","2.34212","1.57474"
"26","272973259157097","-0.338074","1.30116","-1.95113"
