"action_uid","time_stamp","x_value","y_value","z_value"
"16","272930705713106","-18.7439","2.81219","-34.1278"
"16","272930905603243","-18.1442","3.23029","-34.5886"
"16","272931105493379","-17.5766","3.07312","-34.5184"
"16","272931305383516","-23.172","2.14844","-29.8645"
"16","272931505273653","-29.8096","2.52075","-23.4665"
"16","272931705163789","-30.4901","1.43127","-23.2147"
"16","272931905053926","-22.3511","4.53339","-31.8054"
"16","272932104949137","-9.46655","12.3703","-38.7436"
"16","272932304839274","-0.572205","12.4863","-41.0477"
"16","272932504729410","-7.8949","6.67877","-38.6826"
"16","272932704619547","-20.3201","3.44696","-32.9147"
"17","272933704070231","-19.4122","3.66974","-33.226"
"17","272933903960367","-19.1971","4.59747","-33.9355"
"17","272934103850504","-20.3445","4.01306","-32.3395"
"17","272934303740641","-29.5731","2.33917","-23.4222"
"17","272934503630778","-31.5308","-2.81982","-21.5515"
"17","272934703520914","-25.2365","-2.14233","-29.0756"
"17","272934903411051","-14.4211","11.6165","-36.6913"
"17","272935103301188","0.640869","16.0141","-41.3696"
"17","272935303191324","2.77252","6.69708","-42.0456"
"17","272935503081461","-11.3449","6.62689","-37.5198"
"17","272935702971598","-16.0049","6.55518","-35.5209"
"18","272936702422281","-18.3289","4.94995","-34.819"
"18","272936902312418","-16.7404","4.71344","-35.3683"
"18","272937102202555","-19.5694","4.62494","-33.2947"
"18","272937302092692","-24.5575","3.40424","-29.5746"
"18","272937501982828","-23.1537","1.7395","-31.1874"
"18","272937701872965","-14.5844","7.46613","-36.9797"
"18","272937901763102","-1.63269","16.4825","-40.6403"
"18","272938101653238","7.46765","14.1541","-41.925"
"18","272938301543375","-2.81525","10.2722","-40.1672"
"18","272938501433512","-14.9902","8.73413","-35.8551"
"19","272940300444742","-19.1849","7.39288","-34.6222"
"19","272940500334879","-19.4122","6.91071","-33.6121"
"19","272940700225016","-26.1902","2.66876","-28.157"
"19","272940900115153","-29.5151","0.146484","-24.8459"
"19","272941100005289","-23.5825","2.76337","-31.2164"
"19","272941299895426","-11.7371","14.1891","-37.7396"
"19","272941499785563","4.75464","18.8614","-41.2598"
"19","272941699675699","4.28314","10.6415","-41.6824"
"19","272941899565836","-15.2039","7.64771","-35.9894"
