"action_uid","time_stamp","x_value","y_value","z_value"
"1","272865741436155","-8.84857","-27.5375","-44.8685"
"1","272865941326292","-9.98535","-29.0741","-42.9092"
"1","272866141216429","-11.1496","-32.4844","-38.6353"
"1","272866341106565","-10.8078","-35.6155","-34.7443"
"1","272866540996702","-17.8543","-41.7358","-18.4021"
"1","272866740886839","-32.1625","-34.7183","10.1273"
"1","272866940776976","-40.1062","-17.3523","12.8281"
"1","272867140667112","-39.9948","-13.6353","16.0294"
"1","272867340557249","-41.8625","-10.08","12.3138"
"1","272867540447386","-42.0303","-21.3287","-0.701904"
"1","272867740337522","-29.9271","-29.4739","-25.6805"
"1","272867940227659","-15.5579","-25.1648","-41.3055"
"1","272868140117796","-9.65118","-24.2416","-45.1736"
"2","272869939129026","-6.68182","-26.8677","-45.668"
"2","272870139019163","-7.9895","-27.6413","-44.4305"
"2","272870338909300","-19.1071","-34.2834","-31.1523"
"2","272870538799437","-34.2697","-34.7","-2.21558"
"2","272870738689573","-41.0339","-17.8482","10.1578"
"2","272870938579710","-42.3599","-10.3485","10.8429"
"2","272871138469847","-43.1778","-8.79364","7.98035"
"2","272871338359983","-43.6645","-18.0862","-1.52588"
"2","272871538250120","-36.5295","-27.0203","-20.4178"
"2","272871738140257","-26.6403","-23.8037","-36.0519"
"2","272871938030394","-19.194","-19.1544","-45.1416"
"2","272872137911555","-12.9303","-22.699","-46.4127"
"3","272873537142512","-4.94385","-27.7679","-44.9951"
"3","272873737032649","-6.54907","-27.6794","-44.6335"
"3","272873936922786","-16.1285","-33.2062","-34.5749"
"3","272874136812922","-31.4194","-37.0956","-7.17468"
"3","272874336703059","-39.5981","-23.4528","10.1868"
"3","272874536593196","-42.1524","-14.0671","10.6384"
"3","272874736483333","-42.8635","-10.9543","9.55353"
"3","272874936373469","-43.7012","-14.0625","6.05316"
"3","272875136263606","-41.7389","-25.3067","-7.13501"
"3","272875336153743","-29.3411","-29.8492","-27.4277"
"3","272875536043880","-13.4155","-29.454","-39.4211"
"3","272875735934016","-8.37402","-26.1032","-44.7144"
"3","272875935824153","-8.10394","-24.9069","-46.0434"
"4","272877534945247","-4.35333","-26.2421","-45.8435"
"4","272877734835383","-5.5481","-25.5997","-46.257"
"4","272877934725520","-8.461","-29.1626","-42.1204"
"4","272878134615657","-23.822","-37.8876","-19.78"
"4","272878334505794","-35.7437","-28.0655","11.9476"
"4","272878534395930","-40.4449","-8.64105","14.5569"
"4","272878734286067","-39.1281","-2.49786","15.21"
"4","272878934176204","-41.5573","-2.7771","11.5723"
"4","272879134066340","-44.6777","-14.8499","-0.357056"
"4","272879333956477","-42.45","-19.3909","-18.0939"
"4","272879533846614","-28.1403","-18.84","-39.4943"
"4","272879733736751","-10.6277","-21.6904","-47.0749"
"4","272879933626887","-7.39899","-23.5489","-47.467"
"5","272881532747981","-4.5929","-24.0646","-43.8324"
"5","272881732638118","-6.76422","-23.0652","-44.3207"
"5","272881932528255","-13.7222","-28.5828","-36.1893"
"5","272882132448037","-29.9255","-33.0795","-11.9659"
"5","272882332338174","-39.0594","-18.0634","10.9879"
"5","272882532228311","-39.7141","-2.48871","14.7446"
"5","272882732118447","-39.3616","0.115967","13.9282"
"5","272882932008584","-41.5421","-2.1637","10.4813"
"5","272883131898721","-41.8167","-17.4408","-6.72913"
"5","272883331788858","-29.425","-22.4213","-29.8126"
"5","272883531678994","-19.9188","-18.5089","-41.275"
"5","272883731569131","-12.3581","-16.2537","-44.7464"
"21","272952693659709","15.1596","10.379","-47.7112"
"21","272952893549846","14.0427","9.36432","-47.403"
"21","272953093439982","8.43048","4.62036","-46.9345"
"21","272953293330119","0.445557","-23.0484","-32.5211"
"21","272953493220256","-8.7738","-40.1581","2.94647"
"21","272953693110393","-16.5146","-34.259","24.3912"
"21","272953893000529","-18.4692","-33.9905","22.9874"
"21","272954092890666","-20.1813","-33.1192","21.0709"
"21","272954292780803","-9.06067","-36.9293","-9.43756"
"21","272954492670939","12.265","-14.7034","-39.1754"
"21","272954692561076","18.1747","4.93317","-46.5256"
"22","272956491572307","14.679","9.78546","-47.5967"
"22","272956691462443","11.6379","6.55975","-46.8521"
"22","272956891352580","5.31158","-23.1171","-32.0602"
"22","272957091242717","-10.1471","-39.653","6.95648"
"22","272957291132853","-18.6462","-32.2968","25.0946"
"22","272957491022990","-21.4233","-31.488","23.3017"
"22","272957690913127","-24.2737","-28.1708","24.4888"
"22","272957890803264","-17.3737","-35.7483","1.9165"
"22","272958090693400","-0.991821","-23.7244","-30.7007"
"22","272958290583537","9.77631","2.60162","-45.5963"
"22","272958490473674","15.6952","7.89642","-47.0123"
"23","272960489375041","16.1865","6.47583","-47.5891"
"23","272960689265178","14.299","7.0755","-48.2193"
"23","272960889155314","12.9074","-6.4209","-43.7546"
"23","272961089045451","-0.0732422","-36.6531","-15.686"
"23","272961288935588","-15.4617","-37.9593","20.1767"
"23","272961488825725","-21.6599","-34.761","21.051"
"23","272961688715861","-24.5743","-32.0358","22.0184"
"23","272961888605998","-26.0742","-33.8944","12.2803"
"23","272962088493152","-8.7616","-36.1847","-15.7181"
"23","272962288383288","8.27026","-16.5039","-39.9033"
"23","272962488273425","16.2094","5.98297","-47.6654"
"23","272962688163562","16.716","8.82111","-48.288"
"24","272964287284656","15.5029","5.3421","-49.2188"
"24","272964487174792","12.7762","5.7724","-49.6643"
"24","272964687064929","8.34198","-12.149","-44.3542"
"24","272964886955066","-9.07593","-40.509","-12.7426"
"24","272965086845203","-20.4681","-37.7823","19.2215"
"24","272965286735339","-27.1851","-34.0042","19.3649"
"24","272965486625476","-29.0817","-31.5338","19.9402"
"24","272965686515613","-25.9399","-37.2696","7.14264"
"24","272965886405749","-12.9456","-34.4254","-23.5703"
"24","272966086295886","3.33557","-10.672","-46.0297"
"24","272966286186023","15.8463","1.67999","-49.379"
"25","272968285087390","15.0345","3.89557","-50.9277"
"25","272968484977527","12.5961","2.67334","-50.8728"
"25","272968684867663","8.83637","-17.2562","-44.1315"
"25","272968884757800","-8.48846","-40.4907","-18.6722"
"25","272969084647937","-24.1714","-39.2517","15.0635"
"25","272969284538074","-28.8879","-35.8917","17.3386"
"25","272969484428210","-29.7684","-34.6588","17.3538"
"25","272969684318347","-27.8625","-39.0335","5.10101"
"25","272969884208484","-15.6494","-38.5864","-25.4684"
"25","272970084098620","2.75421","-16.745","-47.5601"
"25","272970283988757","7.42798","0.270081","-52.9114"
"41","273037247159668","-22.1283","10.5377","-38.2736"
"41","273037447049805","-22.1329","7.61108","-39.0625"
"41","273037646939941","-15.9897","-8.26721","-42.2745"
"41","273037846830078","-20.9198","-31.8039","-28.0472"
"41","273038046720215","-25.8591","-44.6106","-5.58014"
"41","273038246610352","-28.5156","-42.4988","-6.51245"
"41","273038446500488","-28.0655","-43.7225","-2.09961"
"41","273038646390625","-25.1694","-42.6743","-10.5789"
"41","273038846280762","-5.12238","-25.7858","-37.0834"
"41","273039046170898","-3.35388","-0.480652","-45.0821"
"41","273039246061035","-15.361","14.2136","-40.1642"
"42","273041045072266","-17.9077","13.4979","-39.7125"
"42","273041244962402","-19.2795","14.0717","-39.2609"
"42","273041444852539","-15.8447","6.22711","-43.2114"
"42","273041644742676","-12.9639","-16.3116","-41.4001"
"42","273041844632813","-18.5501","-38.1561","-23.2101"
"42","273042044525671","-24.4888","-46.0144","-0.816345"
"42","273042244415808","-29.6661","-41.4764","-5.42755"
"42","273042444305945","-31.0074","-41.0858","-3.5553"
"42","273042644196081","-29.9545","-38.4186","-13.1317"
"42","273042844086218","-16.9357","-26.265","-36.5219"
"42","273043043976355","-8.82873","-2.24915","-46.3913"
"42","273043243866492","-11.647","11.7325","-44.8257"
"42","273043443756628","-15.7669","16.51","-41.3681"
"43","273045242767859","-15.1993","14.5416","-41.9296"
"43","273045442657995","-15.6616","12.8433","-42.5827"
"43","273045642548132","-13.887","-2.96936","-44.9738"
"43","273045842438269","-21.55","-29.5029","-31.7398"
"43","273046042328406","-26.6663","-43.4097","-7.46918"
"43","273046242218542","-28.891","-43.0893","-4.81262"
"43","273046442108679","-30.2139","-41.8839","-5.69458"
"43","273046641998816","-29.1229","-42.8162","-5.62439"
"43","273046841888952","-23.7793","-38.4186","-21.9162"
"43","273047041779089","-16.3086","-20.3445","-40.2573"
"43","273047241669226","-13.1119","0.128174","-45.4788"
"43","273047441559363","-13.2111","11.7508","-43.9697"
"44","273049440460730","-15.2313","14.4836","-43.9178"
"44","273049640350867","-15.1978","11.821","-44.9707"
"44","273049840241003","-15.0345","-8.86078","-46.3562"
"44","273050040131140","-24.6536","-32.962","-29.8904"
"44","273050240021277","-26.326","-42.9733","-11.9476"
"44","273050439911413","-29.2511","-39.9429","-13.5025"
"44","273050639801550","-31.1523","-39.5706","-9.67865"
"44","273050839691687","-28.8116","-40.2679","-12.5809"
"44","273051039581824","-21.0892","-31.5247","-31.5247"
"44","273051239471960","-13.1729","-11.0504","-44.7876"
"44","273051439362097","-15.1855","8.87299","-43.9728"
"44","273051639252234","-19.1391","19.7968","-39.5294"
"45","273053438263671","-15.3473","14.0884","-43.6462"
"45","273053638153808","-17.157","14.9872","-42.9169"
"45","273053838043945","-14.3066","7.49207","-46.0434"
"45","273054037934081","-10.6384","-19.2612","-42.5903"
"45","273054237824218","-19.1315","-41.4413","-19.2734"
"45","273054437714355","-24.9924","-43.9804","-9.1919"
"45","273054637604492","-27.2263","-41.7725","-11.3678"
"45","273054837494628","-26.0941","-42.9977","-10.3012"
"45","273055037384765","-17.2684","-36.2457","-28.7628"
"45","273055237274902","-5.26428","-11.1618","-46.6125"
"45","273055437165038","-5.11322","11.3678","-47.2458"
"45","273055637055175","-8.77533","19.5938","-44.2032"
"61","273122000583424","-29.3289","-19.0552","-35.5392"
"61","273122200473618","-29.8538","-19.7556","-34.7961"
"61","273122400363755","-31.485","-21.1441","-31.7322"
"61","273122600253892","-34.5688","-23.5245","-23.3978"
"61","273122800144029","-36.94","-25.3357","-14.2044"
"61","273123000034165","-38.2095","-22.7341","-13.0569"
"61","273123199924302","-38.9404","-20.607","-11.1328"
"61","273123399814439","-37.5717","-20.1752","-17.8223"
"61","273123599704575","-28.9948","-16.1667","-33.8486"
"61","273123799594712","-22.9614","-10.6827","-41.8426"
"62","273125998386216","-28.8483","-15.3152","-38.1042"
"62","273126198276353","-29.8904","-16.925","-36.0611"
"62","273126398166490","-32.0816","-19.3741","-31.4026"
"62","273126598056626","-37.4878","-21.8369","-17.5171"
"62","273126797946763","-37.5977","-22.9294","-16.1041"
"62","273126997836900","-39.3036","-18.0878","-12.7945"
"62","273127197727036","-38.3408","-18.1198","-17.4164"
"62","273127397617173","-37.3184","-15.2557","-20.9015"
"62","273127597507310","-34.4818","-10.5118","-28.685"
"62","273127797397447","-32.0084","-5.88074","-33.6731"
"62","273127997287583","-32.0541","-5.56488","-35.1273"
"62","273128197177720","-31.7764","-6.84509","-35.6262"
"63","273130196079087","-27.356","-14.4974","-38.7848"
"63","273130395969224","-28.7125","-13.9618","-37.886"
"63","273130595859361","-30.1651","-15.5441","-35.6567"
"63","273130795749497","-33.2901","-19.2902","-28.7323"
"63","273130995639634","-36.8698","-22.8378","-18.0832"
"63","273131195529771","-35.2798","-22.5113","-21.9147"
"63","273131395419908","-38.1882","-17.9504","-16.7618"
"63","273131595310044","-36.9766","-19.7113","-20.0912"
"63","273131795200181","-35.4736","-15.6052","-24.3759"
"63","273131995090318","-33.6731","-9.76562","-30.0537"
"63","273132194992816","-32.8445","-4.58221","-32.9971"
"63","273132394882953","-29.1901","-8.22601","-37.5641"
