"action_uid","time_stamp","x_value","y_value","z_value"
"11","272907518487557","4.22058","-14.5279","-41.2216"
"11","272907718377693","5.63202","-10.0266","-42.8879"
"11","272907918267830","6.46362","-12.0117","-38.829"
"11","272908118157967","-16.9128","-28.9398","4.97284"
"11","272908318048103","23.4528","-4.44031","41.9083"
"11","272908517938240","-6.18591","1.05896","30.5832"
"11","272908717828377","-28.0365","3.16772","19.9707"
"11","272908917718514","26.8341","4.6814","38.4811"
"11","272909117608650","-15.4327","-0.334167","25.4135"
"11","272909317498787","-38.4583","-5.14374","1.07269"
"11","272909517388924","-33.3176","-12.9578","-12.3261"
"11","272909717279060","-23.9761","-15.6509","-26.1429"
"11","272909917169197","-18.0008","-14.6149","-34.0485"
"12","272911716180428","-4.953","-14.4379","-40.9897"
"12","272911916070564","-5.69611","-12.3703","-42.1219"
"12","272912115947985","-0.96283","-13.797","-39.8025"
"12","272912315838122","-14.9628","-26.0178","-17.07"
"12","272912515728258","0.558472","-9.73968","37.2681"
"12","272912715618395","-0.149536","5.21698","33.2031"
"12","272912915508532","-35.2036","6.87256","11.9888"
"12","272913115398669","22.0078","12.1902","34.8267"
"12","272913315288805","16.6809","8.96912","35.2264"
"12","272913515178942","-36.2824","4.89655","12.3322"
"12","272913715069079","-38.1241","0.437927","8.99963"
"12","272913914959216","-37.7426","-7.83997","-5.38635"
"12","272914114849352","-27.8961","-12.1826","-25.177"
"12","272914314739489","-20.7031","-11.9202","-34.1278"
"13","272915713970446","-11.8179","-13.9389","-38.9862"
"13","272915913860583","-12.4847","-13.2996","-39.4394"
"13","272916113750719","-12.9471","-11.9308","-38.2141"
"13","272916313640856","-23.5718","-20.0211","-20.2209"
"13","272916513530993","-31.0089","-11.4273","19.6259"
"13","272916713421130","25.5981","5.86853","37.8723"
"13","272916913311266","-25.0809","7.01447","20.8084"
"13","272917113201403","-15.7227","8.14819","29.3015"
"13","272917313091540","32.8629","9.6756","34.3094"
"13","272917512981676","-24.4781","-0.154114","18.4723"
"13","272917712871813","-38.0737","-4.55627","0.161743"
"13","272917912761950","-37.1338","-11.6241","-2.62146"
"13","272918112652087","-33.5342","-13.8443","-15.1031"
"13","272918312542223","-28.331","-10.3592","-27.7985"
"14","272919711773180","-14.2838","-14.5554","-38.2828"
"14","272919911663317","-12.1506","-14.7079","-38.0203"
"14","272920111553454","-14.209","-20.4773","-29.361"
"14","272920311443591","-30.7022","-21.3608","3.37219"
"14","272920511333727","13.5834","-0.0213623","39.3509"
"14","272920711223864","-9.84344","1.48163","28.1204"
"14","272920911114001","-32.605","2.24304","18.5089"
"14","272921111004137","28.273","8.2489","35.9451"
"14","272921310894274","-3.16162","2.92511","32.9147"
"14","272921510784411","-38.9572","-1.81274","8.82111"
"14","272921710674548","-39.2517","-7.35474","0.782776"
"14","272921910564684","-33.5754","-13.356","-14.9658"
"14","272922110437227","-27.7206","-13.6505","-27.4857"
"15","272923709558321","-14.6378","-15.7959","-37.0651"
"15","272923909448457","-10.791","-14.7919","-38.887"
"15","272924109338594","-16.0065","-18.9774","-30.1636"
"15","272924309228731","-31.2469","-15.2679","11.9659"
"15","272924509118868","22.02","3.20435","39.1418"
"15","272924709009004","-16.3681","1.11237","24.6475"
"15","272924908899141","-23.3154","2.01416","25.2914"
"15","272925108789278","28.6636","9.54132","36.1114"
"15","272925308679414","-29.4571","-3.19519","19.5892"
"15","272925508569551","-39.1449","-6.69556","1.69678"
"15","272925708459688","-35.7819","-12.7884","-9.70306"
"15","272925908349825","-30.1819","-14.9155","-22.2076"
"15","272926108239961","-20.1233","-18.0161","-31.9092"
"31","272994470669823","14.682","-4.06036","-51.561"
"31","272994670559960","15.4511","-7.33643","-48.8876"
"31","272994870450097","-5.17578","-37.7411","-26.6403"
"31","272995070340233","-3.47137","-41.9846","27.4719"
"31","272995270230370","-28.5477","-35.4889","5.61523"
"31","272995470120507","-25.0198","-32.7667","17.1967"
"31","272995670010643","10.6995","-28.3981","35.9787"
"31","272995869900780","-35.1746","-32.3181","6.20117"
"31","272996069790917","-36.3602","-35.4034","-6.34003"
"31","272996269681054","-24.1562","-37.6434","-23.3383"
"31","272996469571190","-4.00696","-29.8279","-40.7623"
"31","272996669461327","7.49359","-10.3226","-51.0345"
"32","272998068692284","10.1807","1.41602","-52.2842"
"32","272998268582421","10.0296","1.36414","-52.3209"
"32","272998468472558","23.14","-7.76062","-43.4097"
"32","272998668362694","14.5309","-38.0997","-25.9674"
"32","272998868252831","-3.88947","-42.54","19.7937"
"32","272999068142968","-5.44434","-32.608","28.1723"
"32","272999268033104","-37.4603","-33.8837","0.300598"
"32","272999467923241","10.5698","-28.1052","35.0113"
"32","272999667813378","-13.298","-30.661","24.3301"
"32","272999867703515","-38.6581","-32.7255","0.849915"
"32","273000067593651","-31.5491","-36.8362","-12.7136"
"32","273000267483788","-16.9846","-36.4578","-27.7588"
"32","273000467373925","-2.20184","-24.5956","-42.6804"
"33","273002066507199","5.87311","0.96283","-51.532"
"33","273002266397336","5.10101","2.69623","-51.7517"
"33","273002466287473","12.3413","-3.81928","-48.1018"
"33","273002666177610","13.6642","-31.5796","-31.6437"
"33","273002866067746","-10.8063","-44.7922","13.7222"
"33","273003065957883","-0.764465","-36.2488","30.7541"
"33","273003265848020","-36.6837","-35.1242","-1.22223"
"33","273003465738157","-2.10724","-29.8904","33.7082"
"33","273003665628293","-3.30811","-31.2408","33.017"
"33","273003865518430","-36.7325","-35.6476","2.4353"
"33","273004065408567","-32.962","-38.6948","-5.16968"
"33","273004265298703","-21.3394","-40.361","-20.6284"
