"action_uid","time_stamp","x_value","y_value","z_value"
"6","272886130250772","-1.9165","-20.7825","-44.0338"
"6","272886330140908","-8.77228","-20.6421","-42.3935"
"6","272886530031045","-38.9053","-18.6676","-12.706"
"6","272886729921182","-40.2801","-11.3388","14.8376"
"6","272886929811318","-32.341","-4.11224","27.2034"
"6","272887129701455","-36.7508","7.92694","17.5125"
"6","272887329591592","-36.3632","19.9097","8.34351"
"6","272887529481729","-43.4784","6.67267","0.96283"
"6","272887729371865","-39.9155","-5.79529","16.9922"
"6","272887929262002","-36.8225","1.06201","20.7703"
"6","272888129152139","-37.5778","16.0568","10.6674"
"6","272888329042276","-40.976","16.7389","2.22168"
"6","272888528932412","-39.2227","-3.27606","-26.0056"
"7","272890128053506","-6.17523","-22.4304","-39.6286"
"7","272890327943643","-10.556","-22.084","-38.3026"
"7","272890527833779","-35.054","-19.7906","-16.2323"
"7","272890727723916","-40.3351","-12.4664","13.3087"
"7","272890927614053","-36.4624","-4.1748","21.9101"
"7","272891127504190","-38.7421","9.57031","14.3051"
"7","272891327394326","-37.9318","19.0689","8.19244"
"7","272891527284463","-42.746","7.10754","5.99518"
"7","272891727174600","-38.6978","-7.84607","17.0914"
"7","272891927064736","-35.0845","-1.37634","22.8226"
"7","272892126927157","-36.4441","14.7171","13.7802"
"7","272892326817294","-39.3921","17.5934","3.72314"
"7","272892526707431","-37.7075","-0.779724","-25.4578"
"8","272894125828524","0.98877","-18.6157","-37.7975"
"8","272894325718661","-4.88739","-19.3726","-35.3485"
"8","272894525608798","-29.8035","-20.0073","-11.3174"
"8","272894725498935","-30.69","-10.5362","27.7161"
"8","272894925389071","-29.9271","0.813293","28.6713"
"8","272895125279208","-34.14","16.716","15.419"
"8","272895325169345","-34.2056","23.024","8.8913"
"8","272895525059481","-39.3082","9.50165","7.12433"
"8","272895724949618","-35.6949","-6.47736","19.87"
"8","272895924839755","-31.044","-1.52588","27.5818"
"8","272896124729892","-31.9992","17.0502","17.7155"
"8","272896324620028","-33.4274","24.1425","9.61456"
