"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"-0.760513","1.56081","10.1026","0.0316162","-0.354614","-0.648239","-8.33588","11.2152","-46.0312","0"
"-0.388046","0.662796","11.47","0.116058","-0.370148","-1.07977","-13.295","9.68323","-44.8807","0"
"-0.45256","0.151978","11.1746","0.417755","0.00511169","-1.20488","-17.2668","4.78668","-44.0735","0"
"1.65227","0.659424","9.16698","0.0878143","-0.987946","-1.41695","-20.2057","-0.863647","-42.1234","0"
"1.60901","0.445099","10.8394","0.16449","-0.43396","-1.35666","-27.2339","-6.90765","-36.9354","0"
"-0.692123","0.905273","6.28819","-0.07547","-0.561508","-1.59802","-26.3855","-13.8275","-35.1166","0"
"0.0689087","1.73169","6.51605","-0.410049","-0.353394","-1.06459","-25.7141","-18.7164","-32.9224","0"
"0.643036","1.10727","8.75897","-0.215012","-0.235046","-0.866882","-23.3734","-20.1721","-33.6533","0"
"0.193283","0.990066","9.45134","0.363068","-0.421661","-0.28067","-22.8439","-22.171","-32.1945","0"
"0.0760345","1.17445","9.00111","0.0217438","-1.13031","-0.494446","-25.6348","-25.5798","-26.9791","0"
"4.20659","0.243195","9.12126","0.102524","-0.525131","-0.365112","-27.5574","-26.7517","-24.2096","0"
"3.37846","0.563354","9.94046","-0.488678","0.602051","-0.53215","-24.3164","-27.42","-26.0956","0"
"2.65253","2.28136","9.89412","-0.258545","-0.293106","-0.761841","-20.3033","-27.9144","-28.2455","0"
"2.11342","2.29636","9.94585","0.0362396","-0.145218","-1.12383","-16.0431","-29.6631","-28.6057","0"
"0.556122","1.61725","7.7083","0.555069","-0.0574799","-0.833435","-9.20868","-33.5815","-26.3916","0"
"1.4012","2.04697","8.79065","-0.4189","0.138245","-0.140228","-6.46057","-33.2016","-27.5665","0"
"1.68188","1.30325","10.1098","-0.294754","0.145432","0.0157776","-6.00281","-31.5201","-29.5609","0"
"0.584488","2.69952","9.34347","-0.113129","0.230942","-0.225693","-4.32434","-29.9515","-31.5247","0"
"0.656235","2.49174","9.81857","0.165222","0.042099","0.032547","-2.74811","-30.5832","-30.9616","0"
"-0.270401","1.53949","7.88684","0.0872803","-0.104889","-0.0705261","-3.24554","-31.3705","-29.5059","0"
"-0.2621","2.37086","6.40326","0.378326","-0.260941","-0.525192","-1.32599","-32.3074","-28.1952","0"
"0.65303","1.44403","11.8121","-0.165344","-0.117798","-0.899078","2.01416","-32.637","-27.7573","0"
"-0.00196838","-1.69122","13.9591","-0.393036","0.308228","-1.62218","12.3154","-27.1759","-31.1951","0"
"0.375763","-1.65889","9.97109","-0.285614","-0.692108","-2.62607","21.7499","-16.8747","-34.4681","0"
"-2.23608","-1.15924","8.56227","0.665527","0.397705","-1.90379","25.5539","-7.47681","-36.1969","0"
"-3.88196","-3.326","12.1842","0.752502","0.384979","-2.75284","30.5099","1.77155","-33.1253","0"
