"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"0.207982","0.82365","9.46288","0.0721049","-0.265013","-0.961908","-7.32121","-13.6684","-34.5823","0"
"1.2117","-0.166536","6.52404","0.202679","0.126151","-0.451843","-18.5115","-9.70883","-29.6577","1"
"-0.723495","0.186066","9.01205","0.145554","-0.0242615","-0.0513306","-10.1669","16.4398","-42.5217","0"
"2.12417","-2.30334","5.64787","0.47025","-0.0437186","-0.094101","-18.3759","-11.7532","-32.0639","1"
"-2.63254","2.00748","13.5837","-1.15466","-0.517258","-1.71504","-6.91833","13.5223","-44.635","0"
"2.55403","-0.712116","5.99479","0.180315","-0.0273857","-0.249609","-16.4295","-9.24225","-34.3578","1"
"-1.90569","-0.740234","7.91808","-0.238327","0.180618","-0.742935","-10.2158","17.3111","-42.6621","0"
"2.24503","-1.24854","8.02665","0.276971","0.0228004","-0.147916","-16.0377","-9.16205","-34.0423","1"
"-1.01885","-1.50075","9.5935","-0.788483","-0.0942001","-1.24374","-8.4053","17.9611","-41.3063","0"
"1.81762","-0.817179","8.4979","0.300961","0.0749073","-0.147764","-16.704","-8.86803","-34.1232","1"
"-0.510467","-0.65184","8.46474","-0.317551","0.182098","-0.598557","-7.54395","17.5751","-42.366","0"
"4.0972","-1.16016","7.42178","0.655064","0.0357513","0.340602","-18.2761","-12.1968","-32.8435","1"
"-5.08508","-0.0804138","25.1064","-3.0322","-0.297714","-3.24875","-6.53839","9.85107","-45.079","0"
"4.12135","-0.327799","5.93225","0.17422","0.0629272","-0.29354","-15.4805","-6.45159","-36.1732","1"
"-0.704422","-0.847687","10.7299","-0.522781","0.393188","-0.918442","-13.2126","18.0313","-40.6143","0"
"4.46611","-1.00952","3.04081","0.371038","0.0911617","-0.126366","-15.5342","-10.1082","-34.6992","1"
"-2.15932","-0.691223","10.4056","-0.571106","0.0554657","-1.11267","-5.74036","16.8488","-43.3945","0"
"4.48078","0.0804313","2.12224","0.752189","-0.0446036","0.328149","-17.6156","-13.4288","-32.9326","1"
"-0.463402","-0.739365","10.7298","-2.09505","0.0796738","-2.02256","-6.37665","13.4171","-43.8484","0"
"4.54423","-1.63304","5.26399","0.164478","-0.0205383","0.128502","-18.1753","-10.5459","-33.0814","1"
"-0.88678","-0.814102","10.55","-0.691223","1.13353","-1.04797","-11.8484","16.0309","-42.3813","0"
"4.7962","-1.05525","5.36403","0.730848","0.00514003","0.230368","-20.0633","-13.4552","-30.8031","1"
"-6.60237","-4.28166","14.1004","-3.83864","0.947189","-3.33981","-1.47552","10.3928","-43.9316","0"
"3.60896","-2.96083","4.55438","0.614738","0.0260849","0.0923958","-14.6582","-7.83482","-32.5979","1"
"-2.40643","-1.31388","11.0496","-1.58123","0.285759","-2.11155","-0.367737","16.4116","-41.9563","0"
"2.51873","-0.345052","6.29087","0.315494","0.0835537","-0.172791","-12.4252","-5.98602","-35.6493","1"
"-2.01823","-0.215744","9.37058","-0.00918579","0.335632","-0.312988","0.949097","16.7664","-42.9321","0"
"3.27307","-2.30461","9.17619","0.366874","-0.0308337","0.116043","-15.5123","-12.8935","-33.8837","1"
"-1.45242","-0.944611","11.2909","-1.95154","0.281647","-2.70387","-3.69263","15.715","-43.0206","0"
"2.95985","-0.648817","11.1689","0.458279","0.0666866","0.123747","-13.3242","-9.758","-34.7395","1"
"-3.76839","-1.02427","16.0587","-1.10947","0.067955","-1.22867","-1.14212","17.749","-42.4255","0"
"4.95512","-3.35185","1.32597","0.463034","-0.0836879","0.0536913","-14.6992","-13.4929","-32.6117","1"
"-1.5686","-0.71077","12.915","-1.028","0.00564575","-1.41341","-7.61032","16.3254","-42.2142","0"
"3.3426","-0.0609414","9.58987","0.537408","0.0631191","0.141412","-17.9053","-12.4549","-31.1534","1"
"-3.6909","-1.99844","12.059","-1.14191","0.209496","-1.85808","-5.59692","19.1734","-41.3872","0"
"6.42347","-4.04642","1.98324","0.61108","0.0227836","0.278717","-16.6663","-10.4473","-33.4595","1"
"-0.834103","-1.02663","10.0966","-0.644146","0.00821686","-0.918484","-7.34863","18.758","-42.0002","0"
"4.35337","0.0549723","5.72156","0.928576","-0.165787","0.573563","-20.9035","-15.0988","-33.301","1"
"-1.07874","-0.860718","10.495","-2.33854","0.675797","-1.95832","-4.24881","14.0984","-44.5541","0"
"1.83738","-0.446718","10.9556","1.10956","-0.102827","0.626419","-14.2129","-9.08312","-34.843","1"
"-2.18456","0.691935","13.0989","-1.91751","0.55011","-1.9239","1.97296","8.24992","-43.5287","0"
"3.83307","-0.119467","6.96523","0.301893","-0.138269","-0.010294","-13.2483","-11.5385","-36.1105","1"
"-1.21148","0.646378","9.72685","-0.546631","0.319489","-0.660339","-3.29208","15.3534","-43.499","0"
"5.49415","-1.4139","3.97693","0.794148","-0.194109","0.622323","-13.0957","-12.7877","-34.7959","1"
"-2.80685","0.851761","12.2273","-2.48198","0.633102","-2.95655","0.534058","5.67856","-43.8248","0"
"3.83893","1.12684","4.28452","0.478699","-0.0394135","0.242912","-9.9741","-10.7777","-36.3209","1"
"-2.94777","-1.68031","9.69874","-0.819397","0.16802","-1.16913","-3.40322","14.5742","-42.0619","0"
"1.00411","-0.205165","10.329","0.519187","-0.051978","0.213952","-11.7055","-14.4614","-34.3876","1"
"-2.02698","-0.976326","9.29307","-1.34085","0.325706","-1.52327","0.254059","16.6191","-41.3597","0"
"4.13559","-1.36105","6.0468","0.234196","-0.00600624","0.0570507","-7.15427","-10.8006","-35.3359","1"
"-4.1169","-1.53513","11.8115","-0.247818","0.308136","-0.821663","4.20685","18.4196","-40.9813","0"
"2.45977","1.12611","10.4092","0.278812","-0.224556","-0.200195","-7.80811","-12.3568","-35.2581","1"
"-0.633339","0.479568","9.15048","-0.131927","0.411385","-0.379654","-1.57166","15.1009","-42.7162","0"
"4.7153","0.440445","5.16963","0.347097","0.07234","-0.0870762","-12.067","-14.3528","-33.3055","1"
"-1.84436","-0.299759","9.26428","-0.974609","-0.440781","-1.56552","4.13971","15.6845","-42.3126","0"
"4.32306","-0.817982","5.44877","0.45443","-0.0887852","0.542397","-9.53827","-10.7985","-35.7956","1"
"-3.75504","-1.2196","11.6305","-1.74982","0.561783","-2.35204","1.70746","11.9904","-43.586","0"
"2.29274","0.293249","7.32279","0.319775","-0.00728226","-0.00907326","-12.4607","-9.06849","-37.2246","1"
"-2.32796","-0.695801","10.6641","-1.0323","0.570679","-1.62317","-1.08185","16.0156","-44.7937","0"
"4.04029","-1.17134","4.46147","1.0648","-0.179411","0.682528","-17.2195","-8.3337","-36.1561","1"
"-2.1755","-3.01908","9.55617","-1.99845","0.67189","-2.20746","-3.02429","11.1964","-43.5771","0"
"5.78875","-2.82311","4.24073","0.60551","-0.0403704","-0.0391083","-14.7685","-12.4381","-34.7199","1"
"-5.04499","-1.01367","11.7276","-0.912239","0.0438766","-1.28616","-0.359344","16.0202","-42.9108","0"
"3.82821","-2.28407","3.54782","0.414215","-0.0766166","0.105425","-14.532","-13.9374","-35.352","1"
"-1.68509","-0.340363","9.35645","-1.40848","0.126724","-1.61131","-1.84479","15.6967","-44.0063","0"
"1.79782","-1.83704","9.91815","1.08368","-0.259389","0.608331","-15.5531","-8.02678","-35.3263","1"
"-0.416946","-3.65163","7.35967","-2.78519","0.473587","-3.23481","-0.0183105","3.52631","-44.3253","0"
"4.86112","-2.0845","9.19938","0.327339","-0.0722084","-0.0319691","-12.0913","-8.76427","-36.4416","1"
