"action_uid","time_stamp","x_value","y_value","z_value"
"501","317330108066669","0.560333","-1.01965","10.1459"
"501","317330128055683","0.243729","-0.993195","9.78311"
"501","317330148044696","0.125656","-0.932571","9.87897"
"501","317330168033710","0.32402","-0.956451","10.0149"
"501","317330188022724","0.294586","-0.913101","10.0521"
"501","317330208011737","0.204987","-0.888184","9.75691"
"501","317330228000751","0.336945","-0.841888","9.16876"
"501","317330247989765","0.343826","-0.858948","9.4068"
"501","317330267978778","0.531296","-0.835571","9.56317"
"501","317330287967792","0.391815","-0.914566","9.02695"
"501","317330307956806","0.175827","-0.884705","9.22473"
"501","317330327945819","0.409271","-0.842377","10.2798"
"501","317330347934833","0.243073","-0.838165","10.3184"
"501","317330367923847","-0.162155","-0.893875","9.80397"
"501","317330387912860","0.122437","-0.850784","9.6673"
"501","317330407901874","0.289902","-0.773239","9.78834"
"501","317330427890888","0.228516","-0.786011","9.64258"
"501","317330447879901","0.276978","-0.855682","9.27467"
"501","317330467868915","0.304764","-0.846146","9.20245"
"501","317330487857929","0.414871","-0.793152","9.72211"
"501","317330507846942","0.343811","-0.728622","10.1582"
"501","317330527835956","0.0720825","-0.746399","10.055"
"501","317330547824970","-0.114532","-0.795547","9.84947"
"501","317330567813983","0.0681","-0.726898","9.50478"
"501","317330587802997","0.172638","-0.734802","9.03345"
"501","317330607792011","0.318771","-0.746307","9.4866"
"501","317330627781024","0.426498","-0.677597","9.96021"
"501","317330647770038","0.471954","-0.706375","10.3495"
"501","317330667759052","0.272003","-0.720871","10.0679"
"501","317330687748065","0.311035","-0.723434","9.91499"
"501","317330707737079","0.133728","-0.697311","9.55469"
"501","317330727726093","0.127594","-0.654846","9.63265"
"501","317330747715106","0.237244","-0.569122","9.83748"
"501","317330767704120","0.187622","-0.495728","10.1977"
"501","317330787693134","0.0483398","-0.502914","10.3117"
"501","317330807682147","-0.145843","-0.455215","10.4503"
"501","317330827671161","-0.219315","-0.341461","10.6283"
"501","317330847660175","-0.0601349","-0.380005","10.5492"
"501","317330867649188","0.374146","-0.503891","10.5039"
"501","317330887638202","0.899139","-0.45665","11.4408"
"501","317330907627216","1.40881","-0.351593","12.6812"
"501","317330927616229","1.66742","-0.277878","13.2937"
"501","317330947605243","1.94446","-0.242691","13.1389"
"501","317330967594257","2.08429","-0.334915","12.1817"
"501","317330987583270","1.8542","-0.439865","11.0205"
"501","317331007572284","1.89351","-0.512802","10.0091"
"501","317331027561298","2.51732","-0.436981","10.083"
