"action_uid","time_stamp","x_value","y_value","z_value"
"1","312935008131325","0.10643","0.928055","10.038"
"1","312935028120338","0.207275","1.13425","10.2147"
"1","312935048109352","0.364182","1.23193","10.7665"
"1","312935068098366","0.108368","1.11397","8.82503"
"1","312935088087379","0.562134","1.05417","7.5177"
"1","312935108076393","0.815735","1.18135","8.42694"
"1","312935128065407","0.860229","1.20735","9.22491"
"1","312935148054420","0.733017","1.09367","9.75221"
"1","312935168043434","0.805832","1.31908","9.54098"
"1","312935188032448","0.918289","1.49893","9.34888"
"1","312935208021461","0.891357","1.50607","8.95381"
"1","312935228010475","0.835007","1.60843","8.84059"
"1","312935247999489","1.10265","1.65712","9.35896"
"1","312935267988502","1.21246","1.33044","9.04761"
"1","312935287977516","1.34636","1.55048","8.28973"
"1","312935307966530","1.89458","1.83144","8.85146"
"1","312935327955543","2.30022","1.90938","9.54915"
"1","312935347944557","2.48453","2.01648","10.2063"
"1","312935367933571","2.6535","2.37115","10.5618"
"1","312935387922584","2.61037","2.64256","10.5219"
"1","312935407911598","1.2937","2.68451","12.0277"
"1","312935427900612","-0.891281","2.94867","15.8018"
"1","312935447889625","-1.28177","3.71887","19.0815"
"1","312935467878639","1.15082","5.50107","19.6975"
"1","312935487867653","2.4563","7.43344","20.5724"
"1","312935507856666","1.1161","7.01401","22.3229"
"1","312935527845680","-1.37058","4.75102","21.6464"
"1","312935547834694","-1.98376","2.84039","19.3838"
"1","312935567823707","-0.992462","2.02615","18.0163"
"1","312935587812721","0.313705","1.37697","17.3457"
"1","312935607801735","1.27412","0.0386505","15.7133"
"1","312935627790748","2.42009","-2.08965","12.955"
"1","312935647779762","2.85786","-2.95947","10.8162"
"1","312935667768776","3.73083","-3.82851","9.14905"
"1","312935687757789","3.92653","-4.06847","9.44266"
"1","312935707746803","5.5571","-4.14389","8.40692"
"1","312935727735817","4.43597","-4.2637","7.88683"
"1","312935747724830","4.20003","-6.05475","7.39433"
"1","312935767713844","6.58035","-6.93695","2.70692"
"1","312935787702858","9.68906","-6.0378","-3.32179"
"1","312935807691871","9.68706","-6.07323","-6.01909"
"1","312935827680885","7.09959","-8.842","-14.0938"
"1","312935847669899","4.93282","-13.725","-25.8568"
"1","312935867658912","7.94307","-11.9224","-11.3734"
"1","312935887647926","6.52742","-4.96591","-20.7259"
"1","312935907636940","7.93579","-0.853455","-17.7321"
"1","312935927625953","7.26701","1.836","-8.9017"
"1","312935947614967","6.85965","4.5733","-4.88739"
"1","312935967603981","5.58217","7.31747","1.41431"
"1","312935987592994","2.73","8.98721","8.88901"
"1","312936007582008","1.75172","11.1195","16.486"
"1","312936027571022","4.30667","13.5191","20.3227"
"1","312936047560035","7.28287","13.6941","17.7069"
"1","312936067549049","9.04204","11.5004","7.18398"
"1","312936087538063","8.86287","7.42351","3.84196"
"1","312936107527076","9.2986","3.20165","-1.25844"
"1","312936127516090","11.1481","0.626678","-7.42258"
"1","312936147505104","9.88089","-4.00056","-26.5461"
"1","312936167494117","8.89906","-11.9368","-35.6356"
"1","312936187483131","9.68898","-7.46689","-12.524"
"1","312936207472145","10.6546","-2.79872","-20.6997"
"1","312936227461159","8.6089","-2.4525","-10.954"
"1","312936247450172","4.65836","-4.7149","-6.86674"
"1","312936267439186","4.65233","-3.99455","-4.85649"
"1","312936287428200","5.49057","-3.37939","-2.39829"
"1","312936307417213","5.93477","-3.53453","-0.275711"
"1","312936327406227","5.55652","-4.19026","1.28409"
"1","312936347395241","4.37375","-4.77193","1.86737"
"1","312936367384254","3.21843","-5.34375","2.81622"
"1","312936387373268","2.64467","-5.94333","4.27885"
"1","312936407362282","2.90337","-5.95319","5.96284"
"1","312936427351295","3.19136","-6.30598","7.5193"
"1","312936447340309","1.92476","-7.14003","8.85251"
