"action_uid","time_stamp","x_value","y_value","z_value"
"402","316785067637708","1.03452","-1.40245","9.75442"
"402","316785087626722","0.916717","-1.43344","9.74858"
"402","316785107615735","0.930512","-1.44113","9.75108"
"402","316785127604749","0.926804","-1.44562","9.77058"
"402","316785147593763","0.839447","-1.40672","9.22823"
"402","316785167582776","0.904678","-1.3833","9.05275"
"402","316785187571790","0.964844","-1.45168","9.97517"
"402","316785207560804","0.98703","-1.4769","10.0902"
"402","316785227549817","1.00581","-1.43846","9.65819"
"402","316785247538831","1.02785","-1.42238","9.74878"
"402","316785267527845","1.0296","-1.38049","9.83839"
"402","316785287516858","1.0636","-1.37898","9.7646"
"402","316785307505872","1.12297","-1.35414","9.72507"
"402","316785327494886","1.10707","-1.44121","9.76498"
"402","316785347483899","1.05693","-1.50044","9.59453"
"402","316785367472913","0.990387","-1.47705","9.53064"
"402","316785387461927","0.961212","-1.46286","9.55669"
"402","316785407450940","0.960587","-1.40088","9.72131"
"402","316785427439954","0.895706","-1.38005","9.87564"
"402","316785447428968","0.925201","-1.38394","9.90486"
"402","316785467417981","1.03073","-1.33153","9.8244"
"402","316785487406995","1.08511","-1.25934","9.82253"
"402","316785507396009","1.06941","-1.21059","9.75653"
"402","316785527385022","1.06032","-1.11092","9.68936"
"402","316785547374036","1.01935","-1.01038","9.86661"
"402","316785567363050","0.79628","-0.83934","10.3284"
"402","316785587352063","0.428345","-0.600876","10.6764"
"402","316785607341077","0.123581","-0.268173","11.3256"
"402","316785627330091","-0.314041","-0.018158","12.4549"
"402","316785647319104","-0.948929","-0.263336","13.5674"
"402","316785667308118","-1.49881","-0.64978","14.3277"
"402","316785687297132","-1.45424","-0.918335","14.5339"
"402","316785707286145","-0.825333","-0.920135","14.1622"
"402","316785727275159","0.166504","-0.340958","13.0631"
"402","316785747264173","0.960815","0.319626","12.042"
"402","316785767253186","1.21344","0.577438","12.1703"
"402","316785787242200","0.708405","0.404953","12.5731"
"402","316785807231214","0.0467529","-0.0830536","13.6053"
"402","316785827220227","-0.397095","-0.588486","14.1578"
"402","316785847209241","-0.386581","-0.943237","13.9153"
"402","316785867198255","-0.306946","-0.946808","13.7222"
"402","316785887187268","0.740936","-0.365173","13.6935"
"402","316785907176282","0.746368","-0.0942688","13.233"
"402","316785927165296","-0.183807","-0.507156","12.0343"
"402","316785947154309","-1.28932","-0.950745","11.3927"
"402","316785967143323","-1.57118","-0.80632","11.625"
"402","316785987132337","-0.811874","-0.142059","11.7377"
"402","316786007121350","0.0816803","0.267212","10.8187"
"402","316786027110364","0.738098","0.496765","9.53217"
"402","316786047099378","1.25998","1.1111","9.90488"
"402","316786067088391","1.54401","1.29895","10.8195"
"402","316786087077405","1.05022","0.91301","10.1526"
"402","316786107066419","0.82077","0.510635","8.92825"
"402","316786127055432","1.7442","0.459793","7.65578"
"402","316786147044446","2.82547","1.08121","6.35107"
"402","316786167033460","3.78854","1.28349","5.26346"
"402","316786187022473","4.73912","1.22189","4.69876"
"402","316786207011487","5.63509","1.44234","4.04001"
"402","316786227000501","6.09506","1.40308","2.74699"
"402","316786246989515","5.94881","1.05469","0.714203"
"402","316786266978528","6.10248","0.92572","0.0564728"
"402","316786286967542","6.52509","1.17993","-0.535645"
"402","316786306956556","6.74266","0.896118","-2.12495"
"402","316786326945569","6.80096","0.664444","-3.28268"
"402","316786346934583","6.72005","0.515854","-3.32762"
"402","316786366923597","6.68507","0.349136","-4.46246"
"402","316786386912610","6.51129","-0.0458832","-5.36597"
"402","316786406901624","6.1763","-0.117889","-5.172"
"402","316786426890638","5.78336","-0.648193","-5.82393"
"402","316786446879651","4.83925","-1.12386","-7.64716"
"402","316786466868665","4.29629","-1.3951","-8.76761"
"402","316786486857679","3.57968","-2.12088","-9.54453"
"402","316786506846692","2.66844","-2.18268","-8.14618"
"402","316786526835706","2.40813","-1.38112","-5.59244"
