"action_uid","time_stamp","x_value","y_value","z_value"
"101","313129421276730","0.234421","-0.627518","9.6801"
"101","313129441265744","0.306641","-0.687958","9.59839"
"101","313129461254758","0.294357","-0.687241","9.52103"
"101","313129481243771","0.323578","-0.608307","9.65036"
"101","313129501232785","0.465637","-0.537994","9.78656"
"101","313129521221799","0.563873","-0.522461","9.96754"
"101","313129541210812","0.451431","-0.610779","9.89189"
"101","313129561199826","0.0901032","-0.645706","8.63501"
"101","313129581188840","0.186356","-0.680588","8.48946"
"101","313129601177853","0.695297","-0.651199","9.24287"
"101","313129621166867","0.862366","-0.315338","10.7532"
"101","313129641155881","1.19812","-0.130325","11.1763"
"101","313129661144894","0.810272","-0.627548","11.445"
"101","313129681133908","0.00382996","-1.38834","13.5398"
"101","313129701122922","-0.453644","-1.30565","15.5143"
"101","313129721111935","-0.102737","-0.740158","16.6527"
"101","313129741100949","0.965195","0.289047","18.5029"
"101","313129761089963","2.47243","2.03731","19.5812"
"101","313129781078976","3.82895","2.5351","19.3691"
"101","313129801067990","4.0968","2.24007","19.4371"
"101","313129821057004","5.11374","2.86662","18.924"
"101","313129841046017","5.72583","3.32889","15.5997"
"101","313129861035031","4.9617","3.15652","12.1174"
"101","313129881024045","2.56023","2.43286","9.87131"
"101","313129901013058","0.698395","2.13847","7.84308"
"101","313129921002072","1.40169","2.4156","5.49883"
"101","313129940991086","2.53273","2.71739","4.98727"
"101","313129960980099","2.30048","2.89748","3.73027"
"101","313129980969113","0.96022","1.51462","2.2063"
"101","313130000958127","-0.206696","-0.0889893","-0.0870972"
"101","313130020947140","-0.843597","-0.699478","-1.13695"
"101","313130040936154","0.127716","-0.502914","-2.43916"
"101","313130060925168","0.914505","0.331619","-2.57681"
"101","313130080914181","0.304733","0.103058","-2.25555"
"101","313130100903195","-0.869324","-0.566818","-2.32571"
"101","313130120892209","-1.48851","-1.04695","-1.99571"
"101","313130140881222","-1.6412","-1.79018","-1.21548"
"101","313130160870236","-1.58481","-3.20256","0.214294"
"101","313130180859250","-0.857544","-4.79031","1.31645"
"101","313130200848263","0.628036","-6.62386","1.39604"
"101","313130220837277","1.53351","-9.11525","-0.11438"
