"action_uid","time_stamp","x_value","y_value","z_value"
"501","186258182499042","0.0254974","-0.0260315","-0.00828552"
"501","186258382389179","0.0375061","-0.00556946","-0.0301361"
"501","186258582279316","0.00440979","-0.0447083","0.019989"
"501","186258782169453","0.0782471","-0.16481","0.0978546"
"501","186258982059589","0.179535","-0.881393","0.387238"
"501","186259181949726","0.243652","-0.693497","0.0384064"
"501","186259381835596","-0.665451","-0.267075","-0.629776"
"501","186259581725732","-0.882172","0.656494","-0.613602"
"501","186259781615869","-0.937866","1.53812","-0.122833"
"501","186259981506006","-0.380646","1.47548","0.448547"
"501","186260181396143","0.00816345","0.7883","0.965744"
"501","186260381286279","0.436646","-0.974304","1.07367"
"501","186260581176416","-0.0407257","-1.49165","-0.0273895"
"502","186262180297510","-0.105331","-0.0584412","-0.0058136"
"502","186262380187646","-0.0113525","-0.000808716","0.0058136"
"502","186262580077783","-0.0563812","-0.329758","0.151947"
"502","186262779967920","0.297226","-1.0325","0.254471"
"502","186262979858057","-0.502945","-0.851303","-0.787964"
"502","186263179748193","-0.512329","0.72467","-0.889526"
"502","186263379638330","-0.936432","1.72508","-0.427917"
"502","186263579528467","-0.241241","1.69058","0.00119019"
"502","186263779418603","-0.573822","0.832123","0.639465"
"502","186263979308740","0.0717926","-0.482941","1.10289"
"502","186264179198877","0.34819","-1.67584","0.749603"
"503","186265178649561","0.0518341","-0.00892639","-0.043869"
"503","186265378539697","-0.0448608","-0.0160522","-0.0306244"
"503","186265578429834","0.0182953","-0.402832","0.156403"
"503","186265778319971","0.0816193","-1.32402","0.198654"
"503","186265978210107","0.0215454","-0.93367","-0.577942"
"503","186266178100244","-0.495056","0.710785","-0.71875"
"503","186266377990381","-0.753891","1.53674","-0.373993"
"503","186266577880518","-0.290283","1.65797","-0.219116"
"503","186266777770654","-0.274231","1.18463","0.0511932"
"503","186266977660791","-0.238022","0.25351","0.667542"
"503","186267177550928","0.131912","-0.539963","1.05376"
"503","186267377441064","0.185349","-1.56395","0.158875"
"503","186267577331201","-0.294189","-0.523224","-0.245529"
"504","186268177001611","0.013504","-0.0194244","-0.0250092"
"504","186268376891748","-0.00730896","-0.0341034","0.0148315"
"504","186268576781885","0.254028","-0.22876","0.69455"
"504","186268776672021","0.241394","-0.936401","0.420807"
"504","186268976562158","0.0834045","-0.76535","-0.591583"
"504","186269176452295","-0.295792","0.369568","-1.0567"
"504","186269376369549","-0.576477","1.40987","-0.749435"
"504","186269576259685","-0.602448","1.55464","-0.428513"
"504","186269776149822","-0.70668","1.0786","-0.224319"
"504","186269976039959","-0.339935","0.111267","0.741363"
"504","186270175930095","0.00804138","-1.06372","1.1118"
"504","186270375820232","-0.126556","-1.81345","0.419357"
"504","186270575710369","0.175003","-0.622467","-0.0653229"
"505","186271175380779","-0.012558","-0.0417175","-0.0405121"
"505","186271375270916","0.0748138","-0.0496368","-0.00125122"
"505","186271575161053","0.222885","-0.752151","0.415817"
"505","186271775051189","0.344559","-0.879257","-0.0762329"
"505","186271974941326","-0.0502625","-0.344788","-0.671982"
"505","186272174831463","-0.382965","0.678925","-1.02242"
"505","186272374721599","-1.02692","1.4771","-0.605911"
"505","186272574611736","-0.652313","1.3306","-0.116135"
"505","186272774501873","-0.560623","0.774292","0.416733"
"505","186272974392010","-0.114441","0.364273","0.670547"
"505","186273174282146","0.204453","-0.381042","0.843094"
"505","186273374172283","-0.0963287","-1.2093","0.631668"
"505","186273574062420","-0.245102","-1.25803","-0.0234528"
"505","186273773952556","0.220901","-0.435593","-0.464645"
"506","186275173183513","-0.100433","-0.0177612","-0.0111237"
"506","186275373073650","0.0161591","-0.518051","0.0388184"
"506","186275572963787","0.358917","-1.04431","0.016037"
"506","186275772853924","0.354034","-0.598526","-0.577438"
"506","186275972744060","-0.462357","0.39241","-0.475342"
"506","186276172634197","-0.935791","1.40916","-0.397095"
"506","186276372524334","-0.477051","1.63318","0.0199585"
"506","186276572414470","-0.422318","0.957336","0.299652"
"506","186276772304607","-0.0597839","0.238586","0.830414"
"506","186276972194744","0.0604095","-0.948105","0.873337"
"506","186277172084881","-0.00804138","-1.70909","-0.0187073"
"506","186277371975017","-0.0545959","-0.242905","-0.303833"
"507","186279570742924","0.0197449","-0.0240479","-0.026886"
"507","186279770633061","-0.0211029","-0.0509796","-0.00904846"
"507","186279970523198","0.0884094","-0.782455","0.049408"
"507","186280170413334","0.375565","-1.38995","0.01474"
"507","186280370303471","0.175461","-0.198929","-0.681625"
