"action_uid","time_stamp","x_value","y_value","z_value"
"1","181863019453346","0.0230255","0.00559998","-0.266388"
"1","181863219343483","0.150253","-0.396835","0.198151"
"1","181863419233620","0.950699","-1.00008","0.772461"
"1","181863619123757","5.81909","0.359329","1.92459"
"1","181863819013893","3.59198","0.139511","0.210953"
"1","181864018904030","0.416504","-0.0293121","0.355682"
"1","181864218794167","-1.65623","1.24954","-1.34749"
"1","181864418684303","-5.73865","1.38354","-3.61581"
"1","181864618574440","-1.73256","-0.575943","-2.29874"
"2","181865018354714","0.0831604","-0.170959","0.0796661"
"2","181865218244850","1.03156","-0.294006","1.04626"
"2","181865418134987","5.70117","-1.84106","4.34581"
"2","181865618026110","2.88058","-0.367157","0.139404"
"2","181865817916246","-0.253632","0.330902","-0.0644836"
"2","181866017806383","-1.78282","1.09369","-1.43738"
"2","181866217696520","-4.36827","0.942566","-4.76799"
"3","181866617476793","0.0420532","0.219711","-0.497391"
"3","181866817366930","0.509888","-0.26329","0.688889"
"3","181867017257067","4.23792","-1.5961","3.85651"
"3","181867217147204","4.42166","-0.224609","1.31667"
"3","181867417037340","-1.12042","-0.34726","0.0943603"
"3","181867616927477","0.593369","1.08987","-0.794601"
"3","181867816817614","-4.60423","1.34509","-3.38747"
"3","181868016707750","-2.63771","-0.442505","-3.27383"
"4","181868416488024","0.248489","0.0785522","0.0117493"
"4","181868616378161","1.14783","0.0303345","1.02139"
"4","181868816268297","5.56499","-2.25858","4.17073"
"4","181869016158434","2.64313","0.705139","0.0747986"
"4","181869216048571","-0.399139","0.118393","0.271683"
"4","181869415938707","-1.00964","0.714554","-1.16997"
"4","181869615828844","-4.42741","0.902878","-4.48441"
"4","181869815718981","-1.82475","-0.567368","-2.28804"
"5","181870015609118","0.11673","0.215057","-0.449219"
"5","181870215499254","0.274323","0.0618591","0.193161"
"5","181870415389391","1.86626","-0.51004","2.16472"
"5","181870615279528","5.95137","-1.28848","3.58987"
"5","181870815169664","-0.0467072","-0.0191956","0.0986328"
"5","181871015059801","1.34967","0.605011","0.0720978"
"5","181871214949938","-2.88687","0.667435","-1.84744"
"5","181871414840075","-4.13672","0.909256","-3.79642"
"6","181872014510485","0.215851","0.0630951","-0.105148"
"6","181872214400621","1.49855","-0.12085","1.32379"
"6","181872414290758","5.3918","-1.8204","3.92862"
"6","181872614180895","2.61989","0.696701","0.757477"
"6","181872814071032","-0.0808563","-0.0806732","0.139069"
"6","181873013961168","-0.797607","0.887604","-1.20697"
"6","181873213851305","-4.29164","0.993271","-3.48436"
"6","181873413741442","-2.1483","-0.0194855","-2.53459"
"7","181873813521715","-0.0835724","0.0594025","-0.389374"
"7","181874013411852","1.37782","-0.454376","1.15701"
"7","181874213301989","5.0302","-1.32527","3.67628"
"7","181874413192125","3.08575","0.546967","1.34558"
"7","181874613082262","-1.18187","-0.519638","-0.0213928"
"7","181874812972399","0.77002","0.954575","-0.442993"
"7","181875012862536","-4.4129","0.988602","-2.9409"
"8","181875412642809","-0.256561","0.416306","-0.945099"
"8","181875612532946","0.188309","0.0813293","-0.0454712"
"8","181875812418890","1.22578","-0.0673065","0.999832"
"8","181876012309027","5.13142","-1.50916","4.09377"
"8","181876212199164","2.32092","0.972305","0.592331"
"8","181876412089301","-0.526062","-0.382416","0.00706482"
"8","181876611979437","0.0502472","1.17456","-0.946594"
"8","181876811869574","-4.11655","0.572006","-3.38664"
"8","181877011759711","-2.44954","-0.691284","-3.01105"
"9","181877411539984","0.130341","0.1539","0.0522919"
"9","181877611430121","0.772858","-0.0596771","0.69075"
"9","181877811320258","3.60857","-1.00333","3.00909"
"9","181878011210394","4.97574","0.423294","2.05246"
"9","181878211100531","-1.14058","-0.40416","-0.0486298"
"9","181878410990668","1.66803","0.889297","0.247269"
"9","181878610880804","-3.27683","0.457184","-2.36067"
"9","181878810770941","-3.76982","0.272781","-4.65349"
"10","181879210551215","0.181793","0.136322","-0.160019"
"10","181879410441351","0.826401","-0.615158","0.846588"
"10","181879610331488","4.60014","-1.43475","3.52452"
"10","181879810221625","3.92108","0.474731","1.20412"
"10","181880010111762","-1.35843","-0.521713","-0.14679"
"10","181880210001898","1.27191","1.13707","-0.206711"
"10","181880409892035","-4.17758","0.511276","-2.76466"
"11","181881009562445","0.307022","0.329254","-0.180573"
"11","181881209452582","0.702896","-0.606888","0.903427"
"11","181881409342719","4.47058","-1.09789","2.79991"
"11","181881609232855","4.90025","0.554367","1.59256"
"11","181881809122992","-1.38069","-0.477615","0.315765"
"11","181882009013129","0.942245","0.944382","-0.345795"
"11","181882208903265","-4.9476","-0.0829315","-2.06841"
"11","181882408793402","-3.67888","0.27301","-1.98888"
"12","181882808573676","0.0502777","0.175095","-0.12619"
"12","181883008463812","0.915665","-0.318527","0.93866"
"12","181883208353949","5.04147","-1.90897","2.82669"
"12","181883408244086","3.68642","0.808487","0.885666"
"12","181883608134222","-1.37988","-0.781357","0.119308"
"12","181883808024359","1.28551","1.04045","-0.270996"
"12","181884007914496","-4.48352","1.0208","-2.76056"
"13","181884407694769","-0.447617","0.1091","-0.455902"
"13","181884607584906","0.349213","0.0274353","-0.0251007"
"13","181884807475043","1.20821","-0.332672","0.901077"
"13","181885007365179","4.73817","-2.3278","2.84421"
"13","181885207255316","3.79205","0.544601","1.1758"
"13","181885407145453","-1.51831","-0.487549","-0.0869141"
"13","181885607035590","1.01233","1.80269","-0.498627"
"13","181885806932908","-4.21614","0.872879","-3.11537"
"14","181886406603319","0.324219","0.237656","-0.0515594"
"14","181886606493455","0.324966","-0.2901","0.302765"
"14","181886806383592","2.75124","-1.30933","2.37642"
"14","181887006273729","5.94246","-0.456879","2.58987"
"14","181887206163865","-1.94066","-0.508347","0.112396"
"14","181887406054002","2.10439","0.79834","0.685791"
"14","181887605944139","-1.71565","0.894974","-1.6469"
"14","181887805834276","-3.77769","1.29857","-4.07602"
"14","181888005724412","-1.17381","0.0870972","-1.84789"
"15","181888405504686","0.154556","-0.418274","0.228119"
"15","181888605394822","1.47524","-0.463013","1.17386"
"15","181888805284959","5.69348","-1.83705","3.64713"
"15","181889005175096","0.0505219","0.325821","0.416412"
"15","181889205065233","0.921066","0.416962","0.109436"
"15","181889404955369","-1.01965","0.552933","-0.766251"
"15","181889604845506","-4.70709","1.20679","-3.9964"
"16","181890004625779","0.0394135","0.160782","-0.303146"
"16","181890204515916","0.314423","0.0639038","0.282211"
"16","181890404406053","1.40967","-0.328476","1.44623"
"16","181890604296190","5.38884","-1.38617","3.67688"
"16","181890804186326","1.15627","0.863266","0.547577"
"16","181891004076463","0.134323","-0.469254","0.255157"
"16","181891203966600","-0.527664","0.89502","-1.17368"
"16","181891403856736","-4.24904","0.734421","-3.74126"
"17","181892003527147","0.186798","-0.0641327","-0.0900574"
"17","181892203417283","1.32759","-0.597824","0.936157"
"17","181892403307420","6.22966","-1.51199","3.69225"
"17","181892603197557","0.694962","0.709045","0.44632"
"17","181892803087694","-0.0834656","-0.324829","0.387238"
"17","181893002977830","-0.242737","0.839539","-1.01431"
"17","181893202867967","-4.87157","0.36438","-3.98175"
"18","181893802538377","0.102219","-0.0610504","0.378296"
"18","181894002428514","1.09248","0.18399","0.864975"
"18","181894202318651","5.49661","-2.21268","3.54909"
"18","181894402208787","2.16156","0.585754","0.666046"
"18","181894602098924","-0.526825","-0.517807","0.483231"
"18","181894801989061","0.500229","1.43005","-1.00482"
"18","181895001879197","-5.06442","1.03357","-3.94693"
"19","181895601549608","0.349472","0.229965","0.142654"
"19","181895801437481","0.446091","-0.37532","0.859467"
"19","181896001327618","4.64995","-1.58054","3.8791"
"19","181896201217755","3.64691","0.253387","1.8784"
"19","181896401107891","-1.39272","-0.785355","0.259491"
"19","181896600998028","1.39696","1.7202","-0.744324"
"19","181896800888165","-4.81911","0.697144","-4.32378"
"20","181897800338848","0.526367","-0.477448","0.625259"
"20","181898000228985","4.02901","-1.23174","3.3833"
