"action_uid","time_stamp","x_value","y_value","z_value"
"402","185713082103040","0.00541687","0.0194244","0.023056"
"402","185713281993177","-0.00631714","-0.012207","-0.00131226"
"402","185713481883314","0.00593567","-0.0275421","-0.0151978"
"402","185713681773450","0.197311","0.0939636","0.642731"
"402","185713881663587","1.23283","0.352524","1.86104"
"402","185714081553724","2.35651","-2.11549","2.43976"
"402","185714281443861","2.36206","-4.75578","1.84697"
"402","185714481333997","1.17407","-5.59662","1.28622"
"402","185714681224134","0.0288696","0.839981","-0.392624"
"402","185714881114271","-0.922485","8.61461","-1.30133"
"402","185715081004408","0.3638","-5.35974","1.18001"
"402","185715280894544","0.868622","-4.48248","0.7043"
"402","185715480784681","-1.4686","4.90678","-0.881424"
"402","185715680674818","-0.473953","5.50922","-0.706833"
"402","185715880564954","0.116165","1.82498","-0.774475"
"402","185716080455091","-0.713638","2.37994","-2.33453"
"402","185716280345228","-0.774902","0.506271","-3.78255"
"403","185718479136732","0.00775146","-0.0254822","0.0539246"
"403","185718679026868","0.17244","-0.675659","0.554367"
"403","185718878917005","1.75194","-1.4137","1.73277"
"403","185719078807142","3.43388","-3.2686","0.910767"
"403","185719278697279","2.50798","-4.94191","0.280334"
"403","185719478610342","0.914307","-4.51373","0.36235"
"403","185719678500479","-0.0599823","-0.260193","-0.166641"
"403","185719878390616","-0.748352","8.66489","-0.926743"
"403","185720078280752","0.289429","0.965988","-0.173752"
"403","185720278170889","0.57309","-9.78191","1.61093"
"403","185720478061026","-0.108887","0.675919","-0.0184937"
"403","185720677951163","-0.928085","9.79848","-0.678192"
"403","185720877841299","-0.162781","2.07912","-0.485397"
"403","185721077731436","-1.98451","-0.695251","-0.661408"
"403","185721277621573","-2.99603","-0.536011","1.50987"
"403","185721477511710","-1.37752","2.04271","1.63716"
"403","185721677401846","0.307526","3.14008","-1.25328"
"403","185721877291983","0.814606","0.91391","-0.858475"
"404","185724275973624","0.0292206","-0.11969","0.10083"
"404","185724475863760","1.34087","-0.802338","0.695862"
"404","185724675753897","2.99336","-2.04185","0.887314"
"404","185724875644034","2.67558","-3.9473","0.597748"
"404","185725075534170","1.33936","-4.00645","0.443298"
"404","185725275424307","0.400024","-1.94911","0.0317688"
"404","185725475314444","-0.0530243","0.155716","-0.132614"
"404","185725675204581","-0.365097","8.01167","-0.898819"
"404","185725875094717","0.0997162","0.755646","-0.103882"
"404","185726074984854","0.431366","-8.82343","1.13882"
"404","185726274874991","-0.166779","0.228546","0.0849304"
"404","185726474765127","-0.76059","8.869","-0.898438"
"404","185726674655264","0.0101166","0.525894","-0.725952"
"404","185726874545401","-0.905136","-1.33299","0.0151367"
"404","185727074435538","-2.69861","0.12114","0.261826"
"404","185727274325674","-2.44757","0.675079","0.630707"
"404","185727474215811","-2.41261","2.46942","-0.67955"
"404","185727674105948","-0.460144","2.44191","-0.947281"
"404","185727873996085","0.404694","0.802795","-0.508698"
"405","185729672977404","0.108932","-0.184631","0.319916"
"405","185729872867541","1.84604","-0.92395","1.66676"
"405","185730072757677","3.80229","-2.68838","1.8524"
"405","185730272647814","2.63531","-4.40811","0.662247"
"405","185730472537951","1.2981","-3.42061","0.0872498"
"405","185730672428088","0.224899","0.510483","-0.324829"
"405","185730872318224","-0.836563","7.70483","-0.688889"
"405","185731072208361","0.300003","-6.79761","1.02591"
"405","185731272098498","0.384888","-3.33455","0.2948"
"405","185731471988634","-1.40047","8.58536","-1.18022"
"405","185731671878771","0.277573","1.72765","-1.10146"
"405","185731871768908","-1.0269","0.00956726","-1.23172"
"405","185732071659045","-2.57376","-1.27193","-0.702713"
"405","185732271549181","-2.73607","-0.0598755","0.314651"
"405","185732471439318","-2.27295","2.11452","-0.285461"
"406","185734470340685","0.00831604","-0.062561","0.0395966"
"406","185734670230822","0.389114","-0.260696","0.223312"
"406","185734870120959","1.89873","-0.347534","0.910111"
"406","185735070011095","3.01094","-1.27333","1.40688"
"406","185735269901232","2.98361","-4.1022","1.47762"
"406","185735469791369","1.33719","-5.08153","0.281357"
"406","185735669681506","-0.029129","3.27623","-0.663513"
"406","185735869571642","-0.164413","5.73131","-0.0419312"
"406","185736069461779","0.0239868","-7.44223","0.97934"
"406","185736269351916","0.198593","-2.86656","0.0317688"
"406","185736469242052","-1.39999","7.93929","-0.675308"
"406","185736669132189","-0.0242615","0.211273","-0.0367889"
"406","185736869022326","-1.04082","0.103561","-0.0460052"
"406","185737068912463","-3.74445","1.60947","-0.0974274"
"406","185737268802599","-2.96443","1.63454","0.548584"
"406","185737468692736","-1.47551","2.66577","-1.49834"
"406","185737668582873","0.119415","1.52441","-0.585419"
"407","185739267705893","0.239609","-0.355652","0.324463"
"407","185739467596030","1.55527","-1.06134","1.64232"
"407","185739667486167","3.17993","-2.99991","1.55408"
"407","185739867376304","2.78508","-5.71332","0.156052"
"407","185740067266440","1.09421","-2.4537","-0.37764"
"407","185740267156577","-0.36116","7.53154","-0.899246"
"407","185740467046714","-0.0803833","-0.281357","0.106995"
"407","185740666936851","0.856277","-8.82167","1.26602"
"407","185740866826987","-0.0633545","1.39787","-0.119171"
"407","185741066717124","-0.600143","8.49738","-0.469162"
"407","185741266607261","-0.179123","0.930496","-0.48941"
"407","185741466497397","-0.159225","2.21463","-1.72943"
"407","185741666387534","-1.60225","0.270706","-2.75371"
"407","185741866277671","-2.29837","-1.84436","-1.44812"
"408","185743865179038","0.0415344","-0.0313416","0.0946045"
"408","185744065069175","0.344162","-0.426605","0.549393"
"408","185744264959311","1.98352","-1.12555","1.70718"
"408","185744464849448","3.12338","-2.84871","1.43204"
"408","185744664739585","2.31467","-7.0145","0.403076"
"408","185744864629722","0.966095","-2.80444","-0.386459"
"408","185745064519858","-0.548615","3.96989","-0.865692"
"408","185745264409995","-0.949295","6.36929","-0.183029"
"408","185745464300132","0.964066","-9.55363","0.404923"
"408","185745664190268","0.335083","-1.50618","0.435883"
"408","185745864080405","-1.75694","8.85561","-0.096344"
"408","185746063970542","-0.0919037","1.02994","-0.191513"
"408","185746263860679","-0.82077","2.10741","-1.23479"
"408","185746463750815","-2.00641","1.48671","-3.33206"
"409","185748062871909","0.272339","-0.039978","0.304642"
"409","185748262762046","1.15317","-0.341705","1.00562"
"409","185748462652183","2.83136","-1.07016","2.32657"
"409","185748662542319","3.39272","-4.27701","1.36099"
"409","185748862432456","1.79321","-5.54515","0.650894"
