"action_uid","time_stamp","x_value","y_value","z_value"
"101","182057512554807","-0.0392151","0.0582275","0.0185394"
"101","182057712444943","1.09232","-1.71745","1.16222"
"101","182057912335080","5.03561","-1.85948","2.24051"
"101","182058112225217","3.65121","-0.679504","1.29918"
"101","182058312115354","-1.06091","2.4794","2.44576"
"101","182058512005490","-2.38605","2.37987","-0.784058"
"101","182058711895627","2.22363","-2.91692","-1.41522"
"101","182058911785764","2.4045","-0.410446","-0.588425"
"101","182059111675901","-2.19487","3.55707","1.81825"
"101","182059311566037","-3.18488","5.20338","-4.16885"
"102","182059911236447","0.388321","0.140671","0.00788879"
"102","182060111126584","0.346802","-0.306763","0.506577"
"102","182060311016721","1.8262","-3.07846","2.63872"
"102","182060510906858","4.23955","-3.63124","0.922607"
"102","182060710796994","2.21172","0.569412","-0.125427"
"102","182060910687131","-2.15048","3.11819","2.7618"
"102","182061110577268","-1.70749","1.97646","-1.77696"
"102","182061310467404","2.61241","-2.82669","-2.06232"
"102","182061510357541","2.26328","0.167801","-0.542511"
"102","182061710247678","-2.94371","3.52473","2.32819"
"102","182061910137815","-2.2253","4.91452","-3.77992"
"103","182062509808225","0.422211","0.000671387","0.208389"
"103","182062709698361","2.27402","-1.38774","1.32359"
"103","182062909588498","4.96616","-3.33586","2.51022"
"103","182063109478635","1.85522","1.46448","1.6232"
"103","182063309368772","-3.18164","3.05125","1.45396"
"103","182063509258908","-0.818848","0.576859","-1.77643"
"103","182063709149045","3.69881","-2.58662","-1.13091"
"103","182063909039182","0.577164","1.46046","0.589005"
"103","182064108929318","-3.14099","3.38766","2.13235"
"103","182064308819455","-1.04535","5.19324","-4.26274"
"104","182064708599729","0.551865","0.174911","-0.242615"
"104","182064908489865","0.718643","-0.929581","0.508057"
"104","182065108380002","3.8295","-4.08524","2.03874"
"104","182065308270139","4.00597","-0.979431","0.456207"
"104","182065508160276","-0.768112","2.76237","2.47578"
"104","182065708050412","-2.40071","2.65758","0.319809"
"104","182065907942403","1.53429","-1.07983","-2.39458"
"104","182066107832540","2.93724","-1.27443","-1.09058"
"104","182066307722676","-2.00571","2.6438","3.15439"
"104","182066507612813","-2.55859","5.53488","-3.0739"
"105","182067107283223","0.316528","-0.0954285","0.156143"
"105","182067307173360","2.14198","-2.80466","1.7487"
"105","182067507063497","4.60594","-2.84663","1.25835"
"105","182067706953633","2.41231","0.877045","0.408524"
"105","182067906843770","-2.51479","3.13455","3.46072"
"105","182068106733907","-1.20822","2.02054","-2.02371"
"105","182068306624044","3.57152","-2.01978","-1.39816"
"105","182068506514180","1.93974","0.28334","-0.240845"
"105","182068706404317","-3.67162","3.01276","3.21368"
"105","182068906294454","-1.2762","5.78392","-4.0302"
"106","182069306074727","0.531158","0.494263","-0.427124"
"106","182069505964864","1.15408","-1.11321","0.946915"
"106","182069705855001","4.37025","-3.67998","2.30997"
"106","182069905745137","3.2659","0.00656128","0.750168"
"106","182070105635274","-2.5168","2.63211","3.44691"
"106","182070305525411","-1.47827","2.51286","-1.69643"
"106","182070505415547","3.34259","-2.05","-1.99698"
"106","182070705305684","2.30215","0.401779","0.377762"
"106","182070905195821","-3.58592","2.75993","3.78951"
"106","182071105085958","-0.458115","6.10933","-4.02393"
"107","182071504866231","0.510773","0.478928","-0.279953"
"107","182071704756368","0.459381","-0.656021","0.443298"
"107","182071904646505","4.04102","-3.53693","2.22229"
"107","182072104536641","3.91821","-1.22522","0.666077"
"107","182072304426778","-1.40021","2.64955","3.30077"
"107","182072504316915","-2.08411","2.99274","-0.150604"
"107","182072704207051","2.74179","-1.52596","-2.26411"
"107","182072904097188","2.70535","-0.762222","-0.554062"
"107","182073103987325","-3.41791","2.86015","3.85297"
"107","182073303877462","-1.13641","5.54256","-2.89227"
"108","182073703657735","0.358536","0.458908","-0.641251"
"108","182073903547872","0.476303","-0.564621","0.430634"
"108","182074103438008","3.74675","-3.10786","1.87157"
