"action_uid","time_stamp","x_value","y_value","z_value"
"501","186258318851581","20.1813","-5.4245","-38.4338"
"501","186258518741718","20.3949","-5.79224","-37.9196"
"501","186258718631855","20.0836","-6.03638","-38.0066"
"501","186258918521992","17.099","-7.13806","-38.8855"
"501","186259118412128","9.08356","-9.88617","-40.1886"
"501","186259318302265","4.2511","-10.3333","-40.77"
"501","186259518188135","4.61426","-4.17633","-42.1936"
"501","186259718078271","12.5839","3.862","-41.1835"
"501","186259917968408","24.9298","9.6817","-35.3363"
"501","186260117858545","35.0021","7.74994","-27.5803"
"501","186260317748682","38.063","0.132751","-24.6613"
"501","186260517638818","30.2002","-7.1991","-31.7947"
"501","186260717528955","23.259","-6.22711","-36.7172"
"502","186262116759912","22.7142","-8.53424","-36.2503"
"502","186262316650049","21.907","-7.73468","-37.1063"
"502","186262516540186","21.8903","-7.86438","-36.9186"
"502","186262716430322","17.7628","-8.72192","-38.5666"
"502","186262916320459","8.21533","-9.82361","-40.7318"
"502","186263116210596","5.52063","-5.42145","-42.273"
"502","186263316100732","14.5325","1.24817","-40.8539"
"502","186263515990869","27.9312","7.85065","-33.7341"
"502","186263715881006","37.5549","7.83691","-24.1226"
"502","186263915771143","41.0248","3.87115","-19.7723"
"502","186264115661279","37.4023","-4.90875","-24.9344"
"502","186264315551416","27.1912","-8.52814","-33.7357"
"503","186265315002100","23.1812","-8.49304","-35.9619"
"503","186265514892236","22.8653","-8.48389","-36.3647"
"503","186265714782373","18.0191","-9.66797","-38.089"
"503","186265914672510","6.83136","-10.7208","-40.4251"
"503","186266114562646","2.79388","-9.40247","-41.2018"
"503","186266314452783","12.262","-4.06647","-41.3528"
"503","186266514342920","24.9069","2.0401","-36.8164"
"503","186266714233057","35.3638","4.20227","-27.9968"
"503","186266914123193","40.3183","3.70636","-21.0266"
"503","186267114013330","40.7989","-1.67236","-20.2072"
"503","186267313903467","36.615","-9.05609","-24.7574"
"503","186267513793603","28.0777","-8.60138","-33.1848"
"504","186268313354150","24.5743","-5.95398","-36.6455"
"504","186268513244287","23.8831","-6.68793","-36.9278"
"504","186268713134424","19.8364","-11.8393","-37.2253"
"504","186268913024561","12.0865","-14.3738","-38.8565"
"504","186269112914697","9.52606","-13.2568","-39.8621"
"504","186269312804834","17.1677","-7.66144","-39.3341"
"504","186269512722088","28.92","-1.10626","-34.169"
"504","186269712612224","37.8128","4.04968","-25.1419"
"504","186269912502361","41.4795","6.29883","-18.4555"
"504","186270112392498","41.6931","0.157166","-19.0262"
"504","186270312282635","35.2341","-6.8512","-27.3514"
"504","186270512172771","24.4125","-8.70972","-36.0092"
"505","186271311733318","21.2677","-8.17261","-37.9242"
"505","186271511623455","19.5999","-9.3338","-38.2355"
"505","186271711513592","12.439","-12.3413","-39.3646"
"505","186271911403728","6.80695","-14.3082","-39.6713"
"505","186272111293865","7.87048","-12.8571","-40.1047"
"505","186272311184002","17.2562","-5.89447","-39.4852"
"505","186272511074138","28.9246","2.22015","-34.1141"
"505","186272710964275","36.6257","5.03693","-26.3733"
"505","186272910854412","40.1627","3.14026","-21.048"
"505","186273110744549","41.1713","-1.90125","-19.3054"
"505","186273310634685","37.6724","-8.26416","-23.1735"
"505","186273510524822","29.5685","-10.2509","-31.424"
"505","186273710414959","22.2626","-9.14459","-36.6302"
"505","186273910305095","20.4895","-7.87811","-37.9013"
"506","186275109645916","23.2651","-5.31464","-37.1918"
"506","186275309536053","22.3084","-4.48608","-38.1577"
"506","186275509426189","17.0547","-5.78918","-40.21"
"506","186275709316326","8.80279","-8.08868","-41.7236"
"506","186275909206463","6.1554","-8.83637","-41.8625"
"506","186276109096599","12.7899","-3.45459","-41.539"
"506","186276308986736","24.7543","3.5202","-36.9141"
"506","186276508876873","34.9136","5.39856","-28.4729"
"506","186276708767010","39.5035","3.68195","-22.6959"
"506","186276908657146","39.6698","-2.86102","-22.3877"
"506","186277108547283","32.4478","-7.37","-30.1041"
"506","186277308437420","23.2788","-6.55975","-37.1445"
"507","186279707095463","22.7112","-5.22614","-37.9028"
"507","186279906985600","21.7041","-5.35583","-38.0966"
"507","186280106875737","13.4811","-7.0282","-40.3625"
"507","186280306765873","3.26538","-9.89685","-41.0202"
"507","186280506656010","5.68237","-9.24072","-40.8203"
"507","186280706546147","15.5167","-2.1759","-40.1764"
"507","186280906436284","26.1139","4.67834","-35.3867"
"507","186281106326420","34.3857","6.91833","-28.1738"
"507","186281306216557","38.4308","3.65601","-23.5962"
"507","186281506106694","37.3001","-3.52936","-24.8993"
"507","186281705996831","29.1779","-7.51038","-32.2372"
"508","186282905337651","26.3748","-4.78516","-35.1257"
"508","186283105227788","25.0412","-7.57294","-35.3012"
"508","186283305117924","16.5466","-12.2375","-37.7823"
"508","186283505008061","10.7437","-13.4018","-39.09"
"508","186283704898198","14.9979","-8.62427","-39.2899"
"508","186283904788334","25.6073","-0.822449","-35.9695"
"508","186284104678471","35.4889","6.02417","-27.269"
"508","186284304568608","40.8234","6.27289","-19.2032"
"508","186284504458745","41.3071","-0.837708","-18.8492"
"508","186284704348881","37.3978","-8.10699","-23.8571"
"508","186284904239018","32.2205","-11.2228","-28.9642"
"509","186286103579838","27.7756","-5.81055","-34.4971"
"509","186286303469975","26.9318","-5.13611","-35.3683"
"509","186286503360112","23.7946","-6.24542","-36.8912"
"509","186286703250248","14.122","-10.1273","-39.7339"
"509","186286903140385","6.29578","-10.7834","-41.0599"
"509","186287103030522","8.50525","-9.33533","-41.1667"
"509","186287302920659","18.5394","-1.88751","-39.8392"
"509","186287502810795","29.3716","4.0802","-33.6746"
"509","186287702700932","38.3591","6.56433","-23.6206"
"509","186287902591069","41.658","3.18146","-18.8828"
"509","186288102481206","38.2202","-4.18549","-23.9838"
"509","186288302371342","29.4662","-8.00476","-32.2189"
"509","186288502261479","24.0997","-5.45654","-36.4655"
"510","186291300722966","22.5952","-1.49841","-38.5544"
"510","186291500613103","22.4625","-2.3941","-38.1592"
"510","186291700503239","17.2058","-7.43561","-39.3936"
"510","186291900393376","5.88379","-12.0026","-40.6723"
"510","186292100283513","2.54364","-11.853","-41.0187"
"510","186292300173650","10.1898","-5.896","-41.8854"
"510","186292500063786","22.493","1.33362","-38.1744"
"510","186292699953923","33.1757","5.29938","-30.2658"
"510","186292899844060","39.7171","2.79846","-22.2778"
"510","186293099734196","39.7308","-3.45154","-22.1069"
"510","186293299624333","31.221","-7.35626","-31.2057"
"510","186293499514470","24.7284","-6.80542","-36.3388"
"511","186295298525700","24.2508","-5.21393","-36.1771"
"511","186295498415837","23.3612","-5.38788","-37.0514"
"511","186295698305974","18.2816","-8.7204","-38.2019"
"511","186295898196111","7.13348","-13.2629","-39.0869"
"511","186296098086247","2.92206","-13.6917","-39.3631"
"511","186296297976384","9.78088","-8.04901","-40.5334"
"511","186296497866521","20.8496","1.13983","-38.8718"
"511","186296697756657","31.8451","6.54755","-30.7465"
"511","186296897646794","37.7747","5.79071","-24.2218"
"511","186297097536931","39.7339","-0.779724","-21.7361"
"511","186297297427068","32.5287","-4.86908","-30.1743"
"511","186297497317204","22.4869","-4.49066","-37.4435"
"512","186299496227473","22.0764","-5.02014","-37.9929"
"512","186299696117610","20.7443","-5.93262","-38.6673"
"512","186299896007747","14.1296","-9.53369","-39.9261"
"512","186300095897884","7.83234","-13.0814","-40.0909"
"512","186300295788020","9.43604","-8.48694","-41.153"
"512","186300495678157","19.5694","1.6449","-39.563"
"512","186300695568294","30.7007","8.284","-31.9962"
"512","186300895458431","38.5483","6.22711","-23.526"
"512","186301095348567","40.5502","-3.01514","-20.845"
"512","186301295238704","30.6869","-6.10962","-31.929"
"512","186301495128841","21.6614","-6.54602","-37.9547"
"513","186303693920345","23.0057","-5.75256","-36.9247"
"513","186303893810481","22.4823","-6.00281","-37.5214"
"513","186304093700618","19.4321","-8.84552","-37.9806"
"513","186304293590755","9.29565","-10.6308","-40.4388"
"513","186304493480891","5.72662","-6.78864","-42.0547"
"513","186304693371028","13.7512","-2.45667","-41.0843"
"513","186304893261165","24.4904","5.84564","-36.6943"
"513","186305093151302","33.3344","10.2875","-28.7094"
"513","186305293041438","39.1464","6.01349","-22.5357"
"513","186305492931575","36.7126","0.431824","-26.7838"
"513","186305692821712","26.2299","-2.05231","-36.0245"
"514","186307691723079","24.1699","-5.09338","-36.9125"
"514","186307891613216","23.5336","-5.63965","-37.4115"
"514","186308091503352","17.5888","-9.8938","-38.6841"
"514","186308291393489","9.52454","-10.7849","-40.6891"
"514","186308491283626","12.3169","-9.34601","-40.3152"
"514","186308691173763","22.1497","0.642395","-38.3225"
"514","186308891063899","32.8018","7.17316","-30.1086"
"514","186309090954036","39.9277","4.31213","-21.4096"
"514","186309290844173","40.1154","-2.52686","-21.5775"
"514","186309490724123","29.1153","-4.49982","-33.7891"
"514","186309690614260","22.4045","-3.9444","-38.3163"
"515","186312089295901","23.7823","-5.59387","-36.792"
"515","186312289186037","22.6624","-6.71539","-37.1078"
"515","186312489076174","13.7314","-11.7035","-38.7024"
"515","186312688966311","6.38428","-11.8088","-39.859"
"515","186312888856448","11.8271","-7.22961","-40.0131"
"515","186313088746584","24.472","2.67639","-36.1664"
"515","186313288636721","35.2753","5.80444","-26.8326"
"515","186313488526858","39.4501","-0.897217","-21.846"
"515","186313688416995","33.2581","-5.61218","-29.1321"
"515","186313888307131","21.7972","-4.96368","-37.6892"
"516","186315887208498","23.764","-5.10407","-36.6699"
"516","186316087098635","22.1451","-7.15637","-36.8622"
"516","186316286988772","12.9334","-11.026","-38.9862"
"516","186316486878909","7.77893","-10.8566","-40.0757"
"516","186316686769045","14.6896","-6.87256","-39.4455"
"516","186316886659182","25.9308","2.97699","-35.4797"
"516","186317086549319","36.1847","5.88226","-25.9735"
"516","186317286439455","39.4714","-1.99127","-22.5189"
"516","186317486329592","30.3467","-5.26733","-32.3624"
"516","186317686219729","22.821","-3.58429","-37.8708"
"517","186319285340823","23.8831","-6.05164","-36.557"
"517","186319485234122","23.1689","-6.81915","-36.7828"
"517","186319685124259","16.5298","-10.9146","-38.4079"
"517","186319885014396","4.84619","-13.2065","-40.0147"
"517","186320084904533","1.87836","-12.8006","-40.4053"
"517","186320284794669","11.9965","-3.8208","-41.0812"
"517","186320484684806","26.8463","4.3808","-34.9945"
"517","186320684574943","37.9044","2.27356","-24.4003"
"517","186320884465079","38.7665","-4.36707","-23.14"
"517","186321084355216","29.4128","-7.53632","-32.4829"
"517","186321284245353","24.9603","-6.37054","-35.9695"
"518","186323682926993","23.32","-3.19366","-37.7396"
"518","186323882817130","22.3129","-8.75092","-36.8195"
"518","186324082707267","8.86536","-13.3545","-39.6164"
"518","186324282597404","2.87018","-11.6272","-40.9729"
"518","186324482487540","10.4034","-4.00085","-41.5543"
"518","186324682377677","22.4731","6.68488","-37.6328"
"518","186324882267814","33.6746","9.83124","-28.4622"
"518","186325082157950","37.7777","0.239563","-25.0641"
"518","186325282048087","33.7891","-5.49774","-28.9658"
"518","186325481938224","26.3611","-4.73785","-35.5713"
"519","186327480839591","23.2956","-4.33044","-37.0926"
"519","186327680729728","22.7402","-6.55212","-36.9461"
"519","186327880619865","15.6799","-12.3764","-38.15"
"519","186328080510001","7.06787","-12.5076","-40.2451"
"519","186328280400138","9.17206","-9.98535","-40.4907"
"519","186328480290275","19.6136","-2.18964","-38.9175"
"519","186328680180411","31.0623","5.9021","-31.5628"
"519","186328880070548","39.0564","7.89185","-21.3013"
"519","186329079960685","40.0772","0.37384","-21.8506"
"519","186329279850822","33.3786","-4.57001","-30.1743"
"519","186329479752081","24.202","-4.3335","-37.1551"
"520","186331678543585","22.9446","-3.29285","-38.179"
"520","186331878433722","22.8088","-5.60303","-37.4374"
"520","186332078323859","15.4053","-12.8891","-38.3423"
"520","186332278213995","7.47528","-13.4583","-40.0772"
"520","186332478104132","10.2844","-7.71942","-41.1545"
"520","186332677994269","22.8333","4.49066","-37.6892"
"520","186332877884406","34.3033","9.60083","-28.0533"
"520","186333077774542","39.7995","1.6037","-22.2061"
"520","186333277664679","35.7071","-5.00946","-27.4872"
"520","186333477554816","24.2828","-5.81055","-36.8927"
"521","186335876236456","23.3109","-6.05469","-36.8988"
"521","186336076126593","17.041","-11.5448","-38.0478"
"521","186336276016730","5.24445","-12.6984","-40.0879"
"521","186336475906866","7.36389","-11.0657","-40.4068"
"521","186336675797003","17.1585","-0.404358","-40.0421"
"521","186336875687140","29.4418","8.10699","-33.049"
"521","186337075577277","37.1918","6.45752","-25.8347"
"521","186337275467413","37.6617","0.674439","-25.6378"
"521","186337475357550","28.5172","-4.36707","-34.1598"
