"action_uid","time_stamp","x_value","y_value","z_value"
"1","181863039747536","-15.1566","11.6455","-41.7542"
"1","181863239637673","-16.9296","10.7758","-41.8869"
"1","181863439527809","-22.6807","8.65326","-39.1922"
"1","181863639417946","-23.5886","-12.5153","-34.9289"
"1","181863839308083","-27.536","-35.7086","-6.6925"
"1","181864039198219","-27.5223","-35.7346","-7.47528"
"1","181864239088356","-23.3322","-36.8988","-8.69446"
"1","181864438978493","-3.6026","-11.441","-41.983"
"1","181864638868630","-6.25458","13.8443","-44.3115"
"2","181865038648903","-9.74731","15.1871","-43.5898"
"2","181865238539040","-10.6995","12.8235","-44.5374"
"2","181865438429177","-19.9478","-9.58557","-38.9114"
"2","181865638319313","-32.0923","-30.1727","-15.0574"
"2","181865838210436","-30.7861","-31.0333","-16.2857"
"2","181866038100573","-23.851","-32.28","-21.2982"
"2","181866237990709","-1.50757","-7.2113","-44.7678"
"3","181866637770983","-8.6792","14.6957","-44.1025"
"3","181866837661120","-8.85773","12.7914","-44.664"
"3","181867037551256","-13.9114","-2.78473","-43.602"
"3","181867237441393","-30.0003","-29.0909","-19.8791"
"3","181867437331530","-30.6946","-29.8782","-19.1422"
"3","181867637221666","-26.7532","-32.9773","-18.4692"
"3","181867837111803","-9.38263","-17.6819","-39.7827"
"3","181868037001940","-3.15704","10.9879","-45.2209"
"4","181868436782213","-8.86688","15.6281","-43.0557"
"4","181868636672350","-7.77283","11.7264","-44.7708"
"4","181868836562487","-18.7805","-11.2442","-38.2874"
"4","181869036452623","-28.7384","-32.3578","-16.5436"
"4","181869236342760","-29.3671","-29.7745","-20.3262"
"4","181869436232897","-22.6501","-32.2357","-22.9645"
"4","181869636123034","-3.73383","-9.67407","-43.132"
"4","181869836013170","-6.94275","13.7726","-43.3243"
"5","181870235793444","-9.53522","14.4287","-42.9794"
"5","181870435683580","-8.87909","7.55463","-44.2413"
"5","181870635573717","-22.5647","-18.6829","-32.3898"
"5","181870835463854","-27.3605","-31.4468","-19.0582"
"5","181871035353991","-28.476","-29.7943","-20.0562"
"5","181871235244127","-19.3954","-29.4418","-26.8295"
"5","181871435134264","-3.0838","-1.04675","-44.5145"
"5","181871635024401","-7.02515","17.1036","-41.7374"
"6","181872034804674","-11.5753","18.1198","-40.4282"
"6","181872234694811","-10.8887","13.0966","-42.9688"
"6","181872434584948","-18.6081","-10.4752","-38.9053"
"6","181872634475084","-28.1433","-31.1661","-19.5831"
"6","181872834365221","-29.8538","-28.6392","-21.2051"
"6","181873034255358","-22.818","-32.1136","-23.14"
"6","181873234145495","-6.53534","-12.2681","-42.424"
"6","181873434035631","-5.20935","12.5015","-44.3314"
"7","181873833815905","-8.22144","18.1427","-41.5649"
"7","181874033706041","-9.99756","14.3402","-42.8635"
"7","181874233596178","-14.7827","-8.69598","-40.9988"
"7","181874433486315","-27.0447","-31.2714","-20.929"
"7","181874633376452","-29.4159","-27.9251","-23.0835"
"7","181874833266588","-25.5554","-31.5979","-21.788"
"7","181875033156725","-12.915","-18.3701","-38.6765"
"7","181875233046862","-6.53839","9.85107","-45.079"
"8","181875632827135","-11.0901","15.6433","-42.482"
"8","181875832713080","-10.4813","11.8866","-43.7653"
"8","181876032603217","-16.8564","-10.0647","-39.8331"
"8","181876232493353","-26.358","-30.9509","-21.756"
"8","181876432383490","-27.858","-27.301","-25.0977"
"8","181876632273627","-21.6492","-31.6711","-24.7375"
"8","181876832163763","-6.71692","-13.9481","-41.8976"
"8","181877032053900","-5.81055","11.5814","-44.31"
"9","181877431834174","-12.0102","17.6224","-40.7349"
"9","181877631724310","-11.2503","15.4282","-42.4316"
"9","181877831614447","-12.999","0.610352","-43.8828"
"9","181878031504584","-23.0392","-26.8204","-27.4658"
"9","181878231394721","-22.5052","-31.6788","-23.851"
"9","181878431284857","-26.4252","-31.1081","-21.9345"
"9","181878631174994","-15.8813","-27.4368","-31.7398"
"9","181878831065131","-0.163269","2.5177","-45.5536"
"10","181879230845404","-6.89087","16.6016","-43.0267"
"10","181879430735541","-8.95233","14.1541","-44.1086"
"10","181879630625678","-14.8422","-6.22101","-42.7505"
"10","181879830515814","-26.8448","-31.9885","-20.4041"
"10","181880030405951","-26.9531","-29.9057","-23.7549"
"10","181880230296088","-25.2335","-33.9478","-19.6213"
"10","181880430186224","-13.5925","-22.6944","-36.8622"
"10","181880630076361","-3.3783","7.94525","-45.784"
"11","181881029856635","-8.89435","18.4341","-41.951"
"11","181881229746771","-9.82208","16.1438","-43.1641"
"11","181881429636908","-12.3474","-3.52783","-44.0872"
"11","181881629527045","-24.9725","-34.2087","-18.8202"
"11","181881829417181","-27.5055","-32.5424","-20.3461"
"11","181882029307318","-26.2955","-34.874","-17.4194"
"11","181882229197455","-19.1605","-21.2326","-35.8185"
"11","181882429087592","-16.4047","7.44019","-43.045"
"12","181882828867865","-10.6644","16.9678","-41.9647"
"12","181883028758002","-9.48029","14.3097","-43.8019"
"12","181883228648138","-17.4393","-7.57294","-40.8615"
"12","181883428538275","-28.3264","-32.8384","-17.5674"
"12","181883628428412","-30.2948","-29.4067","-20.3323"
"12","181883828318549","-27.9907","-33.5175","-16.3864"
"12","181884028208685","-16.2476","-22.1283","-34.7076"
"13","181884627879096","-3.9566","20.8115","-40.0909"
"13","181884827769232","-4.37927","15.7242","-42.746"
"13","181885027659369","-15.0772","-6.91833","-40.686"
"13","181885227549506","-28.0853","-32.4905","-16.8823"
"13","181885427439642","-28.8513","-29.5502","-21.2006"
"13","181885627329779","-23.4436","-33.2489","-21.0297"
"13","181885827227098","-8.88672","-18.7439","-38.6124"
"13","181886027117235","3.11432","11.6287","-43.6905"
"14","181886426897508","-3.71552","20.5475","-40.5502"
"14","181886626787645","-3.75671","18.6874","-41.803"
"14","181886826677781","-6.94275","7.33948","-44.696"
"14","181887026567918","-22.4014","-25.3464","-28.5706"
"14","181887226458055","-24.7025","-29.5349","-24.7025"
"14","181887426348192","-29.2969","-25.5173","-24.6689"
"14","181887626238328","-19.6854","-29.0421","-28.1693"
"14","181887826128465","-1.45569","-5.75714","-44.1376"
"14","181888026018602","0.1297","14.7491","-43.5455"
"15","181888425798875","-1.11847","16.6641","-43.3197"
"15","181888625689012","-2.93732","10.7681","-45.0531"
"15","181888825579149","-18.8309","-18.2816","-35.1578"
"15","181889025469285","-25.3555","-31.9031","-21.9467"
"15","181889225359422","-29.2175","-26.5244","-24.8215"
"15","181889425249559","-22.6746","-31.9778","-23.9471"
"15","181889625139695","-8.45184","-8.99963","-42.9398"
"16","181890224810106","-5.45044","17.0624","-42.8802"
"16","181890424700242","-5.76019","11.7233","-44.7647"
"16","181890624590379","-15.4984","-15.3687","-38.1042"
"16","181890824480516","-21.2357","-34.6848","-21.344"
"16","181891024370653","-27.6489","-29.1779","-23.6969"
"16","181891224260789","-20.0058","-33.963","-23.1873"
"16","181891424150926","-3.2135","-12.9501","-42.3492"
"17","181892023821336","-2.36511","18.0878","-42.2958"
"17","181892223711473","-4.37317","13.2721","-44.1406"
"17","181892423601610","-15.7608","-16.0538","-36.6577"
"17","181892623491746","-22.4136","-35.8307","-18.8583"
"17","181892823381883","-28.5767","-28.6881","-23.32"
"17","181893023272020","-21.7545","-33.7845","-21.2448"
"17","181893223162156","-7.65076","-11.4532","-41.7648"
"18","181893822832567","-8.2489","17.0181","-41.9403"
"18","181894022722703","-6.51245","13.3072","-43.6371"
"18","181894222612840","-16.0492","-10.6171","-38.3972"
"18","181894422502977","-28.2486","-33.4427","-15.6006"
"18","181894622393113","-33.6884","-26.4786","-19.3222"
"18","181894822283250","-26.0818","-33.0322","-18.6096"
"18","181895022173387","-6.50787","-13.9389","-40.567"
"19","181895621843797","-6.71082","18.5074","-41.8564"
"19","181895821731671","-6.6925","17.0502","-43.0252"
"19","181896021621807","-10.672","-2.74506","-43.3655"
"19","181896221511944","-25.6638","-31.691","-21.9254"
"19","181896421402081","-32.3288","-25.8408","-23.2864"
"19","181896621292218","-26.7792","-31.8329","-21.0022"
"19","181896821182354","-7.81708","-16.5787","-39.7552"
"20","181897820633038","-10.0021","17.8406","-43.4051"
"20","181898020523175","-12.2391","2.2644","-45.2301"
"20","181898220413311","-25.3159","-30.2032","-25.824"
"20","181898420303448","-31.2256","-25.7065","-26.4038"
"20","181898620193585","-28.6026","-30.5984","-23.2788"
"20","181898820083722","-18.0359","-24.1898","-35.6644"
"20","181899019973858","-4.89349","7.16858","-46.3547"
"21","181899419754132","-3.01514","20.1523","-42.0944"
"21","181899619644268","-3.76282","18.9865","-43.2632"
"21","181899819534405","-3.31268","10.231","-45.8954"
"21","181900019424542","-18.2068","-21.3913","-34.9625"
"21","181900219314679","-25.1816","-30.7571","-25.296"
"21","181900419204815","-26.5396","-27.9861","-26.4908"
"21","181900619094952","-19.4717","-32.8171","-25.8987"
"21","181900818985089","-0.227356","-9.0683","-44.0277"
"22","181901418655499","1.85547","18.1137","-43.0084"
"22","181901618545636","0.0152588","13.3774","-44.7433"
"22","181901818435772","-12.8769","-12.7655","-41.1789"
"22","181902018325909","-22.9446","-31.5582","-25.7996"
"22","181902218216046","-27.0798","-22.0322","-31.1371"
"22","181902418106182","-25.9811","-28.6133","-25.2213"
"22","181902617996319","-17.8574","-25.9064","-32.457"
"22","181902817886456","-1.11694","-2.92358","-45.3384"
"23","181903417556866","1.81885","13.4644","-44.5282"
"23","181903617447003","1.84479","12.056","-44.8273"
"23","181903817337140","-4.85229","-3.80402","-44.3619"
"23","181904017227276","-21.0312","-30.5344","-26.445"
"23","181904217117413","-26.7624","-22.76","-30.1331"
"23","181904417007550","-26.0635","-27.8015","-24.6918"
"23","181904616897686","-16.6244","-30.1346","-28.5843"
"23","181904816787823","-0.0900269","-3.60718","-44.4519"
"24","181905416458233","-0.1297","12.059","-44.2383"
"24","181905616348370","-0.764465","4.93774","-45.2667"
"24","181905816215710","-12.6495","-16.4734","-38.0554"
"24","181906016105846","-22.8607","-30.455","-24.9557"
"24","181906215995983","-24.5422","-24.733","-29.3442"
"24","181906415886120","-18.2129","-31.076","-25.882"
"24","181906615776257","-1.69067","-16.3651","-40.1901"
"24","181906815666393","1.38855","9.43756","-44.0445"
"25","181907415336803","-0.682068","14.0823","-43.1976"
"25","181907615226940","-1.49231","9.2453","-44.2047"
"25","181907815117077","-15.9042","-16.0645","-36.4075"
"25","181908015007214","-21.5454","-31.9962","-23.6389"
"25","181908214897350","-23.3429","-25.8148","-28.7933"
"25","181908414787487","-16.2766","-34.0942","-24.2416"
"25","181908614677624","-2.6947","-16.5878","-40.2298"
"25","181908814567760","0.244141","13.9359","-42.3187"
"26","181909214348034","2.85645","16.7786","-41.4749"
"26","181909414238171","2.67029","15.6128","-42.2394"
"26","181909614128307","1.61438","5.65796","-44.4687"
"26","181909814018444","-13.5422","-26.535","-31.3232"
"26","181910013908581","-18.1458","-32.1609","-25.5463"
"26","181910213798718","-22.7463","-27.8061","-26.9501"
"26","181910413688854","-13.6078","-32.5027","-27.7756"
"26","181910613578991","3.66669","-5.44891","-42.9092"
"27","181911213249401","3.05481","16.9495","-43.0405"
"27","181911413139538","2.53448","13.356","-43.5791"
"27","181911613029675","-7.90405","-9.3338","-41.2811"
"27","181911812919811","-21.1899","-33.8852","-22.2107"
"27","181912012809948","-22.5464","-28.2013","-27.8412"
"27","181912212700085","-16.8182","-34.0958","-24.4904"
"27","181912412590221","-3.30658","-27.2812","-34.9091"
"27","181912612480358","3.71094","3.6377","-44.7128"
"28","181913212150768","-0.0640869","13.4766","-43.4662"
"28","181913412040905","-0.526428","9.8938","-44.6716"
"28","181913611931042","-8.00018","-9.18121","-41.9601"
"28","181913811821178","-26.6449","-32.6691","-18.3517"
"28","181914011711315","-27.1072","-29.6722","-22.5357"
"28","181914211601452","-25.0931","-31.6711","-22.0779"
"28","181914411491589","-15.1505","-30.6961","-29.6509"
"28","181914611381725","6.05011","-4.30298","-43.7302"
"29","181915211052135","2.40173","14.7919","-42.6926"
"29","181915410942272","2.76489","10.2417","-44.1666"
"29","181915610832409","-5.52826","-16.1026","-39.5782"
"29","181915810748891","-19.2276","-32.1625","-26.8219"
