"action_uid","time_stamp","x_value","y_value","z_value"
"402","185713218455579","-8.78601","20.6436","-39.5767"
"402","185713418345716","-8.8501","20.4727","-39.3433"
"402","185713618235853","-8.96759","20.726","-39.3204"
"402","185713818125990","-3.33862","18.6325","-41.6855"
"402","185714018016126","2.30865","6.51245","-45.7504"
"402","185714217906263","-19.5587","-11.7233","-37.7808"
"402","185714417796400","-39.9185","-13.8794","3.46222"
"402","185714617686536","-23.7991","-6.97327","32.8186"
"402","185714817576673","-35.2356","-11.1847","8.19702"
"402","185715017466810","-30.072","-14.5432","-32.2174"
"402","185715217356947","-34.5428","-7.91168","15.6525"
"402","185715417247083","-23.0865","-3.51868","32.2769"
"402","185715617137220","-35.115","-10.8856","-15.6326"
"402","185715817027357","-18.512","-13.028","-40.3885"
"402","185716016917493","0.376892","-12.0071","-44.194"
"402","185716216807630","20.4819","1.53809","-42.2134"
"402","185716416697767","11.1237","20.726","-39.3616"
"403","185718415599134","-10.5103","28.8345","-30.5435"
"403","185718615489271","-10.9436","28.9902","-30.7816"
"403","185718815379408","-9.49097","28.2394","-32.2083"
"403","185719015269544","-12.2467","17.3935","-39.5431"
"403","185719215159681","-35.3516","-3.27606","-25.6744"
"403","185719415072745","-38.9435","-8.32825","16.0202"
"403","185719614962881","-18.7729","-5.30396","36.3876"
"403","185719814853018","-23.8876","-7.5531","31.2531"
"403","185720014743155","-32.0877","-11.1923","-27.0615"
"403","185720214633292","-35.7834","-9.97009","-8.5556"
"403","185720414523428","-15.065","-2.96173","38.1714"
"403","185720614413565","-30.9097","-7.13654","13.8763"
"403","185720814303702","-25.9705","-11.6165","-34.6802"
"403","185721014193838","-10.9497","-8.85162","-41.806"
"403","185721214083975","-18.0328","9.4696","-38.6536"
"403","185721413974112","-8.47321","29.3808","-29.3335"
"403","185721613864249","7.19757","34.2239","-21.6705"
"403","185721813754385","6.4209","34.9762","-21.1197"
"403","185722013644522","2.58484","33.7555","-25.2228"
"404","185724212436026","-4.77753","30.2872","-30.5542"
"404","185724412326163","-4.63867","29.2953","-31.7429"
"404","185724612216299","-7.14417","19.7891","-39.0717"
"404","185724812106436","-24.6521","-0.521851","-35.8948"
"404","185725011996573","-42.6666","-10.675","-4.07867"
"404","185725211886710","-34.9747","-8.56934","25.2563"
"404","185725411776846","-26.3535","-7.72705","33.345"
"404","185725611666983","-32.5195","-9.63287","25.5615"
"404","185725811557120","-29.4968","-13.4537","-29.5029"
"404","185726011447256","-34.024","-12.1643","-15.3046"
"404","185726211337393","-24.0326","-6.82373","34.256"
"404","185726411227530","-32.872","-9.83582","15.3519"
"404","185726611117667","-25.235","-15.0146","-32.2876"
"404","185726811007803","-20.6818","-16.0461","-34.5947"
"404","185727010897940","-29.2938","-7.37305","-31.3293"
"404","185727210788077","-26.7899","11.0123","-32.4875"
"404","185727410678213","-17.5888","26.2207","-28.0685"
"404","185727610568350","-11.7966","32.2891","-22.8149"
"404","185727810458487","-10.3363","31.7688","-25.1114"
"404","185728010348624","-10.2829","29.805","-28.3737"
"405","185729609439806","-9.4223","28.5767","-30.1254"
"405","185729809329943","-7.67975","27.684","-32.431"
"405","185730009220080","-8.11005","14.473","-40.2939"
"405","185730209110216","-29.7424","-7.90405","-28.4363"
"405","185730409000353","-40.538","-14.7919","8.84399"
"405","185730608890490","-29.9606","-12.6251","30.2216"
"405","185730808780627","-35.022","-14.6622","4.75464"
"405","185731008670763","-28.6072","-15.181","-28.4302"
