"action_uid","time_stamp","x_value","y_value","z_value"
"101","182057532848996","-5.83343","16.1087","-43.0649"
"101","182057732739133","-10.3333","14.534","-43.1641"
"101","182057932629270","-24.3073","-8.17718","-38.0737"
"101","182058132519406","-37.1994","-25.9567","-14.5889"
"101","182058332409543","-39.0305","-13.3408","-21.8826"
"101","182058532299680","-25.0381","6.91528","-38.0325"
"101","182058732189817","-32.2052","-0.98114","-31.5247"
"101","182058932079953","-43.0405","-17.5461","-10.051"
"101","182059131970090","-35.6674","-4.87366","-27.4582"
"101","182059331860227","-9.76257","16.6183","-40.7944"
"102","182060131420774","3.88489","16.7221","-43.0557"
"102","182060331310910","-4.60968","8.43048","-44.3024"
"102","182060531201047","-34.462","-11.3739","-26.5457"
"102","182060731091184","-39.4119","-25.0824","-7.65228"
"102","182060930981320","-35.2356","-6.83594","-26.7029"
"102","182061130871457","-21.0922","10.7101","-38.7329"
"102","182061330761594","-32.5546","-3.72162","-29.8325"
"102","182061530651731","-39.5187","-22.7173","-11.113"
"102","182061730541867","-31.9061","-5.46722","-30.2704"
"102","182061930432004","-5.98755","17.4286","-41.2125"
"103","182062530102414","4.77142","18.5074","-42.2913"
"103","182062729992551","0.875854","8.34656","-45.6406"
"103","182062929882688","-25.6683","-19.0994","-29.9301"
"103","182063129772824","-36.882","-25.5844","-12.8998"
"103","182063329662961","-29.8569","-0.968933","-33.3893"
"103","182063529553098","-21.3165","11.264","-39.7964"
"103","182063729443235","-34.9274","-9.78394","-27.8244"
"103","182063929333371","-36.5402","-21.9055","-19.5084"
"103","182064129223508","-25.7065","7.33795","-36.026"
"103","182064329113645","-3.91083","20.697","-41.2888"
"104","182064728893918","5.83343","18.9896","-43.4738"
"104","182064928784055","3.81012","14.8941","-45.6009"
"104","182065128674192","-20.2026","-3.14636","-41.2353"
"104","182065328564328","-36.0535","-25.116","-17.0883"
"104","182065528454465","-36.9736","-18.3731","-20.8694"
"104","182065728344602","-24.3484","9.93195","-38.7787"
"104","182065928236592","-24.1226","3.87115","-39.7369"
"104","182066128126729","-38.3652","-19.9539","-19.3283"
"104","182066328016866","-32.1487","-11.763","-30.0446"
"104","182066527907003","-11.1282","17.8589","-41.5466"
"105","182067127577413","2.96936","19.8212","-43.2785"
"105","182067327467549","-6.87103","10.8429","-45.6574"
"105","182067527357686","-31.1157","-13.1714","-31.3828"
"105","182067727247823","-38.9664","-25.1923","-11.5814"
"105","182067927137960","-33.876","-1.44958","-30.957"
"105","182068127028096","-19.9814","15.8798","-40.3351"
"105","182068326918233","-29.6524","-2.90985","-35.7254"
"105","182068526808370","-37.3596","-22.3877","-19.4855"
"105","182068726698506","-29.0924","0.96283","-34.8556"
"105","182068926588643","-3.86505","23.1949","-40.361"
"106","182069326368917","3.26843","21.5179","-42.2501"
"106","182069526259053","1.73187","15.744","-44.8776"
"106","182069726149190","-20.0043","-6.19965","-40.0375"
"106","182069926039327","-37.3245","-24.4415","-16.2537"
"106","182070125929464","-34.1339","-5.61218","-30.1819"
"106","182070325819600","-19.0796","15.5151","-40.6662"
"106","182070525709737","-27.1973","-0.653076","-36.8576"
"106","182070725599874","-36.1893","-21.489","-21.2311"
"106","182070925490010","-28.5019","3.91541","-34.5612"
"106","182071125380147","-0.602722","23.8541","-39.8621"
"106","182071325270284","4.91638","23.5962","-40.3564"
"107","182071725050557","5.58624","18.5745","-43.1152"
"107","182071924940694","-11.94","-0.1297","-42.9947"
"107","182072124830831","-34.1919","-25.2502","-18.1076"
"107","182072324720967","-35.4797","-14.3524","-24.1821"
"107","182072524611104","-20.3857","14.2929","-38.884"
"107","182072724501241","-22.7448","3.78571","-39.2258"
"107","182072924391378","-36.4639","-22.2733","-19.1559"
"107","182073124281514","-30.069","-0.975037","-32.6462"
"107","182073324171651","-3.33099","23.7106","-39.1602"
"108","182073923842061","5.00946","20.5994","-40.4373"
"108","182074123732198","-9.758","3.50342","-42.2531"
"108","182074323622335","-34.8785","-22.5189","-15.6738"
"108","182074523512471","-37.2833","-14.9826","-19.2093"
"108","182074723402608","-18.5104","13.7817","-38.1134"
"108","182074923292745","-18.3456","3.17993","-40.0299"
"108","182075123182881","-29.007","-25.5066","-23.0835"
"108","182075323073018","-30.0217","-3.16162","-30.8014"
"108","182075522963155","-7.36389","23.9975","-37.0438"
"109","182075922739330","10.524","20.5536","-39.4958"
"109","182076122629467","8.55865","17.9337","-41.3162"
"109","182076322519604","-6.73065","-4.01459","-42.1783"
"109","182076522409741","-29.5547","-29.0436","-17.9718"
"109","182076722299877","-32.0023","-4.74243","-29.3457"
"109","182076922190014","-14.3875","15.1245","-40.8844"
"109","182077122080151","-24.7299","-10.8612","-33.2077"
"109","182077321970287","-32.5851","-20.8481","-22.7951"
"109","182077521860424","-17.0547","16.2827","-36.5448"
"109","182077721750561","4.20837","27.5345","-35.1425"
"110","182078121530834","7.75604","20.4041","-40.4404"
"110","182078321420971","3.86505","13.2065","-43.5577"
"110","182078521311108","-18.1076","-17.8177","-35.3546"
"110","182078721201244","-32.5058","-24.8856","-21.228"
"110","182078921091381","-22.6273","6.20117","-39.4684"
"110","182079120981518","-11.3998","12.4756","-44.2062"
"110","182079320871655","-27.8671","-19.0521","-29.6768"
"110","182079520761791","-35.1486","-16.5985","-23.1689"
"110","182079720651928","-18.9667","16.9495","-37.6709"
"110","182079920542065","2.61993","22.6166","-40.9012"
"111","182080320322338","13.0341","14.4394","-43.3487"
"111","182080520212475","9.91516","13.53","-44.5831"
"111","182080720102612","-17.7231","-4.89807","-38.3545"
"111","182080919992748","-38.6963","-24.2966","-8.99963"
"111","182081119882885","-38.6444","-5.97534","-21.6461"
"111","182081319773022","-22.7463","13.6993","-38.06"
"111","182081519663158","-30.0903","-2.31781","-32.5729"
"111","182081719553295","-38.2477","-22.7325","-12.7792"
"111","182081919443432","-33.5266","3.62396","-28.2242"
"111","182082119333569","-13.9679","20.7153","-38.6856"
"111","182082319223705","2.50244","20.4483","-42.186"
"112","182082719003979","9.16138","17.7856","-43.0023"
"112","182082918894116","-2.87933","6.39191","-45.1996"
"112","182083118784252","-35.1807","-21.2769","-18.0969"
"112","182083318674389","-39.9384","-16.7374","-14.0778"
"112","182083518564526","-29.4174","9.94415","-33.7845"
"112","182083718454662","-26.1414","3.13416","-37.6663"
"112","182083918344799","-38.7207","-19.5892","-16.4948"
"112","182084118234936","-38.5544","-6.05469","-22.4243"
"112","182084318125073","-20.517","21.8903","-33.6945"
"112","182084518015209","-1.73798","25.3326","-38.0646"
"113","182084917795483","6.26526","22.0657","-40.3961"
"113","182085117685619","-2.49939","14.5401","-44.1269"
"113","182085317575756","-28.2333","-17.6956","-27.4948"
"113","182085517465893","-39.6683","-19.6121","-12.9257"
"113","182085717356030","-29.6326","13.2278","-31.0501"
"113","182085917252178","-17.8986","13.1363","-40.4709"
"113","182086117142315","-29.2175","-17.7368","-27.5879"
"113","182086317032452","-36.5005","-20.3033","-16.5649"
"113","182086516922588","-23.3856","19.2276","-32.1518"
"113","182086716812725","-3.7262","30.5466","-33.3542"
"114","182087116592999","-0.967407","25.943","-38.7421"
"114","182087316483135","-5.01709","20.4605","-42.0319"
"114","182087516373272","-31.5537","-7.08313","-30.2841"
"114","182087716263409","-40.0467","-22.6624","-10.1425"
"114","182087916153545","-35.9207","4.67072","-26.5976"
"114","182088116043682","-19.1055","21.8613","-36.3968"
"114","182088315933819","-28.6942","-3.64685","-34.9594"
"114","182088515823956","-36.763","-23.6526","-15.9882"
"114","182088715714092","-30.545","11.5753","-29.7958"
"114","182088915604229","-3.88031","29.0833","-35.6598"
"115","182089515274639","-4.60358","22.2","-41.1896"
